,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
1994-01-01,-13.2%,-30.1%,-22.2%,-6.5%,8.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-02-01,45.9%,13.6%,-13.7%,14.8%,-12.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-03-01,36.2%,-11.0%,2.5%,3.4%,-2.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-04-01,11.3%,-7.7%,0.5%,0.7%,-22.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-05-01,6.0%,-29.2%,-2.8%,3.4%,-2.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-06-01,20.1%,28.0%,-7.6%,15.6%,3.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-07-01,-19.7%,-5.8%,-5.5%,0.9%,-17.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-08-01,-9.5%,-14.3%,-10.8%,-14.2%,1.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-09-01,11.3%,-5.3%,1.1%,-12.6%,-6.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-10-01,-13.0%,4.4%,-9.3%,-14.7%,-15.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-11-01,-14.8%,-22.6%,-10.2%,19.3%,1.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1994-12-01,-6.3%,-15.8%,-12.0%,24.2%,-6.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-01-01,-18.7%,-11.6%,-4.2%,-5.0%,-6.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-02-01,-5.5%,12.7%,-10.7%,18.0%,3.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-03-01,5.6%,90.3%,23.5%,50.9%,3.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-04-01,-12.8%,-12.7%,5.4%,5.9%,-3.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-05-01,42.5%,-14.4%,-10.0%,32.2%,1.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-06-01,6.9%,-21.0%,6.9%,0.3%,0.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-07-01,-18.0%,-22.9%,-22.7%,-17.9%,10.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
1995-08-01,-11.9%,50.6%,-9.5%,-1.8%,-7.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
