,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,58000000.0,47000000.0,33000000.0,25000000.0,
Ordinary Shares Number,1622000000.0,1616000000.0,1612000000.0,1207000000.0,
Share Issued,1680000000.0,1663000000.0,1645000000.0,1232000000.0,
Total Debt,2212000000.0,3003000000.0,2863000000.0,661000000.0,
Tangible Book Value,13799000000.0,10267000000.0,6455000000.0,6885000000.0,
Invested Capital,59289000000.0,58360000000.0,57217000000.0,7810000000.0,
Working Capital,11768000000.0,10079000000.0,8650000000.0,4343000000.0,
Net Tangible Assets,13799000000.0,10267000000.0,6455000000.0,6885000000.0,
Capital Lease Obligations,491000000.0,535000000.0,396000000.0,348000000.0,
Common Stock Equity,57568000000.0,55892000000.0,54750000000.0,7497000000.0,
Total Capitalization,59289000000.0,57609000000.0,57217000000.0,7498000000.0,
Total Equity Gross Minority Interest,57568000000.0,55892000000.0,54750000000.0,7497000000.0,
Stockholders Equity,57568000000.0,55892000000.0,54750000000.0,7497000000.0,
Gains Losses Not Affecting Retained Earnings,-69000000.0,-10000000.0,-41000000.0,-3000000.0,
Other Equity Adjustments,-69000000.0,-10000000.0,-41000000.0,-3000000.0,
Treasury Stock,6106000000.0,4514000000.0,3099000000.0,2130000000.0,
Retained Earnings,2364000000.0,723000000.0,-131000000.0,-1451000000.0,
Additional Paid In Capital,61362000000.0,59676000000.0,58005000000.0,11069000000.0,
Capital Stock,17000000.0,17000000.0,16000000.0,12000000.0,
Common Stock,17000000.0,17000000.0,16000000.0,12000000.0,
Total Liabilities Net Minority Interest,11658000000.0,11993000000.0,12830000000.0,4922000000.0,
Total Non Current Liabilities Net Minority Interest,4377000000.0,5304000000.0,6461000000.0,682000000.0,
Other Non Current Liabilities,1816000000.0,1850000000.0,1664000000.0,321000000.0,
Non Current Deferred Liabilities,349000000.0,1202000000.0,1934000000.0,12000000.0,
Non Current Deferred Taxes Liabilities,349000000.0,1202000000.0,1934000000.0,12000000.0,
Long Term Debt And Capital Lease Obligation,2212000000.0,2252000000.0,2863000000.0,349000000.0,
Long Term Capital Lease Obligation,491000000.0,535000000.0,396000000.0,348000000.0,
Long Term Debt,1721000000.0,1717000000.0,2467000000.0,1000000.0,
Current Liabilities,7281000000.0,6689000000.0,6369000000.0,4240000000.0,
Other Current Liabilities,555000000.0,438000000.0,336000000.0,98000000.0,
Current Deferred Liabilities,,544000000.0,859000000.0,314000000.0,
Current Deferred Revenue,,544000000.0,859000000.0,314000000.0,
Current Debt And Capital Lease Obligation,,751000000.0,,312000000.0,
Current Debt,,751000000.0,,312000000.0,
Other Current Borrowings,,751000000.0,,312000000.0,
Pensionand Other Post Retirement Benefit Plans Current,1174000000.0,884000000.0,701000000.0,705000000.0,
Payables And Accrued Expenses,5552000000.0,4616000000.0,5332000000.0,3125000000.0,
Current Accrued Expenses,3086000000.0,2198000000.0,2376000000.0,1719000000.0,
Payables,2466000000.0,2418000000.0,2956000000.0,1406000000.0,
Dueto Related Parties Current,476000000.0,363000000.0,463000000.0,85000000.0,
Accounts Payable,1990000000.0,2055000000.0,2493000000.0,1321000000.0,
Total Assets,69226000000.0,67885000000.0,67580000000.0,12419000000.0,
Total Non Current Assets,50177000000.0,51117000000.0,52561000000.0,3836000000.0,
Other Non Current Assets,3146000000.0,2805000000.0,2152000000.0,239000000.0,
Non Current Prepaid Assets,,,1252000000.0,916000000.0,0.0
Non Current Deferred Assets,688000000.0,366000000.0,58000000.0,931000000.0,
Non Current Deferred Taxes Assets,688000000.0,366000000.0,58000000.0,931000000.0,
Investments And Advances,149000000.0,99000000.0,83000000.0,69000000.0,
Long Term Equity Investment,149000000.0,99000000.0,83000000.0,69000000.0,
Goodwill And Other Intangible Assets,43769000000.0,45625000000.0,48295000000.0,612000000.0,
Other Intangible Assets,18930000000.0,21363000000.0,24118000000.0,323000000.0,
Goodwill,24839000000.0,24262000000.0,24177000000.0,289000000.0,
Net PPE,2425000000.0,2222000000.0,1973000000.0,1069000000.0,
Accumulated Depreciation,-2173000000.0,-1787000000.0,-1507000000.0,-1134000000.0,
Gross PPE,4598000000.0,4009000000.0,3480000000.0,2203000000.0,
Leases,,,,206000000.0,208000000.0
Construction In Progress,324000000.0,209000000.0,143000000.0,96000000.0,
Other Properties,3421000000.0,2979000000.0,2623000000.0,1901000000.0,
Machinery Furniture Equipment,,,2163000000.0,1534000000.0,1209000000.0
Buildings And Improvements,,,594000000.0,206000000.0,208000000.0
Land And Improvements,,,120000000.0,0.0,
Properties,853000000.0,821000000.0,714000000.0,0.0,
Current Assets,19049000000.0,16768000000.0,15019000000.0,8583000000.0,
Other Current Assets,1250000000.0,1259000000.0,1265000000.0,312000000.0,
Prepaid Assets,,,,312000000.0,378000000.0
Inventory,5734000000.0,4351000000.0,3771000000.0,1955000000.0,
Finished Goods,1094000000.0,812000000.0,892000000.0,197000000.0,
Work In Process,4289000000.0,3260000000.0,2648000000.0,1676000000.0,
Raw Materials,351000000.0,279000000.0,231000000.0,82000000.0,
Receivables,6933000000.0,5385000000.0,4128000000.0,2708000000.0,
Other Receivables,628000000.0,1053000000.0,,,
Duefrom Related Parties Current,113000000.0,9000000.0,2000000.0,2000000.0,
Accounts Receivable,6192000000.0,4323000000.0,4126000000.0,2706000000.0,
Cash Cash Equivalents And Short Term Investments,5132000000.0,5773000000.0,5855000000.0,3608000000.0,
Other Short Term Investments,1345000000.0,1840000000.0,1020000000.0,1073000000.0,
Cash And Cash Equivalents,3787000000.0,3933000000.0,4835000000.0,2535000000.0,
