,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-35340000.0,0.0,0.0,-978740.801308,
Tax Rate For Calcs,0.19,0.21,0.21,0.13982,
Normalized EBITDA,5444000000.0,4149000000.0,5534000000.0,4173000000.0,
Total Unusual Items,-186000000.0,0.0,0.0,-7000000.0,
Total Unusual Items Excluding Goodwill,-186000000.0,0.0,0.0,-7000000.0,
Net Income From Continuing Operation Net Minority Interest,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Reconciled Depreciation,3177000000.0,3551000000.0,4262000000.0,463000000.0,
Reconciled Cost Of Revenue,11331000000.0,10538000000.0,10836000000.0,8042000000.0,
EBITDA,5258000000.0,4149000000.0,5534000000.0,4166000000.0,
EBIT,2081000000.0,598000000.0,1272000000.0,3703000000.0,
Net Interest Income,90000000.0,100000000.0,-23000000.0,-26000000.0,
Interest Expense,92000000.0,106000000.0,88000000.0,34000000.0,
Interest Income,182000000.0,206000000.0,65000000.0,8000000.0,
Normalized Income,1791660000.0,854000000.0,1320000000.0,3168021259.198692,
Net Income From Continuing And Discontinued Operation,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Total Expenses,23699000000.0,22279000000.0,22337000000.0,12786000000.0,
Total Operating Income As Reported,1900000000.0,401000000.0,1264000000.0,3648000000.0,
Diluted Average Shares,1637000000.0,1625000000.0,1571000000.0,1229000000.0,
Basic Average Shares,1620000000.0,1614000000.0,1561000000.0,1213000000.0,
Diluted EPS,1.0,0.53,0.84,2.57,
Basic EPS,1.01,0.53,0.85,2.61,
Diluted NI Availto Com Stockholders,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Average Dilution Earnings,,,0.0,0.0,1000000.0
Net Income Common Stockholders,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Net Income,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Net Income Including Noncontrolling Interests,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Net Income Continuous Operations,1641000000.0,854000000.0,1320000000.0,3162000000.0,
Earnings From Equity Interest Net Of Tax,33000000.0,16000000.0,14000000.0,6000000.0,
Tax Provision,381000000.0,-346000000.0,-122000000.0,513000000.0,
Pretax Income,1989000000.0,492000000.0,1184000000.0,3669000000.0,
Other Income Expense,-187000000.0,-9000000.0,-57000000.0,47000000.0,
Other Non Operating Income Expenses,-3000000.0,-8000000.0,5000000.0,-2000000.0,
Special Income Charges,-186000000.0,0.0,0.0,-7000000.0,
Other Special Charges,,,,7000000.0,54000000.0
Restructuring And Mergern Acquisition,186000000.0,0.0,0.0,,
Earnings From Equity Interest,2000000.0,-1000000.0,-62000000.0,56000000.0,
Net Non Operating Interest Income Expense,90000000.0,100000000.0,-23000000.0,-26000000.0,
Interest Expense Non Operating,92000000.0,106000000.0,88000000.0,34000000.0,
Interest Income Non Operating,182000000.0,206000000.0,65000000.0,8000000.0,
Operating Income,2086000000.0,401000000.0,1264000000.0,3648000000.0,
Operating Expense,10639000000.0,10059000000.0,9339000000.0,4281000000.0,
Other Operating Expenses,-48000000.0,-34000000.0,-102000000.0,-12000000.0,
Depreciation Amortization Depletion Income Statement,1448000000.0,1869000000.0,2100000000.0,0.0,
Depreciation And Amortization In Income Statement,1448000000.0,1869000000.0,2100000000.0,0.0,
Amortization,1448000000.0,1869000000.0,2100000000.0,0.0,
Amortization Of Intangibles Income Statement,1448000000.0,1869000000.0,2100000000.0,0.0,
Research And Development,6456000000.0,5872000000.0,5005000000.0,2845000000.0,
Selling General And Administration,2783000000.0,2352000000.0,2336000000.0,1448000000.0,
Gross Profit,12725000000.0,10460000000.0,10603000000.0,7929000000.0,
Cost Of Revenue,13060000000.0,12220000000.0,12998000000.0,8505000000.0,
Total Revenue,25785000000.0,22680000000.0,23601000000.0,16434000000.0,
Operating Revenue,25785000000.0,22680000000.0,23601000000.0,16434000000.0,
