,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.134,0.21,0.21,
Normalized EBITDA,1694000000.0,1546000000.0,1119000000.0,899000000.0,1215000000.0,
Net Income From Continuing Operation Net Minority Interest,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Reconciled Depreciation,786000000.0,786000000.0,795000000.0,810000000.0,824000000.0,
Reconciled Cost Of Revenue,3322000000.0,2966000000.0,2548000000.0,2495000000.0,2853000000.0,
EBITDA,1694000000.0,1546000000.0,1119000000.0,899000000.0,1215000000.0,
EBIT,908000000.0,760000000.0,324000000.0,89000000.0,391000000.0,
Net Interest Income,163000000.0,-23000000.0,-25000000.0,-25000000.0,179000000.0,
Interest Expense,19000000.0,23000000.0,25000000.0,25000000.0,27000000.0,
Normalized Income,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Net Income From Continuing And Discontinued Operation,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Total Expenses,6601000000.0,6095000000.0,5566000000.0,5437000000.0,5826000000.0,
Total Operating Income As Reported,871000000.0,724000000.0,269000000.0,36000000.0,342000000.0,
Diluted Average Shares,,1636000000.0,1637000000.0,1639000000.0,1628000000.0,1629000000.0
Basic Average Shares,,1620000000.0,1618000000.0,1617000000.0,1616000000.0,1616000000.0
Diluted EPS,,0.47,0.16,0.07,0.41,0.18
Basic EPS,,0.48,0.16,0.08,0.41,0.18
Diluted NI Availto Com Stockholders,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Net Income Common Stockholders,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Net Income,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Net Income Including Noncontrolling Interests,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Net Income Continuous Operations,482000000.0,771000000.0,265000000.0,123000000.0,667000000.0,
Earnings From Equity Interest Net Of Tax,12000000.0,7000000.0,7000000.0,7000000.0,6000000.0,
Tax Provision,419000000.0,-27000000.0,41000000.0,-52000000.0,-297000000.0,
Pretax Income,889000000.0,737000000.0,299000000.0,64000000.0,364000000.0,
Other Income Expense,-331000000.0,36000000.0,55000000.0,53000000.0,-157000000.0,
Other Non Operating Income Expenses,-147000000.0,36000000.0,55000000.0,53000000.0,-156000000.0,
Net Non Operating Interest Income Expense,163000000.0,-23000000.0,-25000000.0,-25000000.0,179000000.0,
Interest Expense Non Operating,19000000.0,23000000.0,25000000.0,25000000.0,27000000.0,
Operating Income,1057000000.0,724000000.0,269000000.0,36000000.0,342000000.0,
Operating Expense,2825000000.0,2695000000.0,2595000000.0,2524000000.0,2569000000.0,
Other Operating Expenses,-11000000.0,-14000000.0,-10000000.0,-13000000.0,-6000000.0,
Depreciation Amortization Depletion Income Statement,332000000.0,352000000.0,372000000.0,392000000.0,420000000.0,
Depreciation And Amortization In Income Statement,332000000.0,352000000.0,372000000.0,392000000.0,420000000.0,
Amortization,332000000.0,352000000.0,372000000.0,392000000.0,420000000.0,
Amortization Of Intangibles Income Statement,332000000.0,352000000.0,372000000.0,392000000.0,420000000.0,
Research And Development,1712000000.0,1636000000.0,1583000000.0,1525000000.0,1511000000.0,
Selling General And Administration,792000000.0,721000000.0,650000000.0,620000000.0,644000000.0,
Gross Profit,3882000000.0,3419000000.0,2864000000.0,2560000000.0,2911000000.0,
Cost Of Revenue,3776000000.0,3400000000.0,2971000000.0,2913000000.0,3257000000.0,
Total Revenue,7658000000.0,6819000000.0,5835000000.0,5473000000.0,6168000000.0,
Operating Revenue,7658000000.0,6819000000.0,5835000000.0,5473000000.0,6168000000.0,
