,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,59714081.166943,-2700449.076897,4636274.188258,-460792960.024648,60407715.914073,
Tax Rate For Calcs,0.104032,0.150025,0.115907,0.190018,0.223732,
Normalized EBITDA,37976000000.0,32100000000.0,27832000000.0,27736000000.0,27949000000.0,
Total Unusual Items,574000000.0,-18000000.0,40000000.0,-2425000000.0,270000000.0,
Total Unusual Items Excluding Goodwill,574000000.0,-18000000.0,40000000.0,-2425000000.0,270000000.0,
Net Income From Continuing Operation Net Minority Interest,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Reconciled Depreciation,15631000000.0,13442000000.0,12038000000.0,11684000000.0,13820000000.0,
Reconciled Cost Of Revenue,150426000000.0,127882000000.0,119655000000.0,115374000000.0,140686000000.0,
EBITDA,38550000000.0,32082000000.0,27872000000.0,25311000000.0,28219000000.0,
EBIT,22919000000.0,18640000000.0,15834000000.0,13627000000.0,14399000000.0,
Net Interest Income,678000000.0,653000000.0,591000000.0,349000000.0,188000000.0,
Interest Expense,570000000.0,603000000.0,589000000.0,644000000.0,713000000.0,
Interest Income,1248000000.0,1256000000.0,1180000000.0,993000000.0,901000000.0,
Normalized Income,19489714081.166943,15343299550.923103,13449636274.188257,12395207039.975351,10414407715.914074,
Net Income From Continuing And Discontinued Operation,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Total Expenses,166589000000.0,141466000000.0,133305000000.0,128006000000.0,156752000000.0,
Total Operating Income As Reported,21203000000.0,17411000000.0,14672000000.0,15307000000.0,13209000000.0,
Diluted Average Shares,,10735000000.0,10708000000.0,10670000000.0,10610000000.0,10558000000.0
Basic Average Shares,,10501000000.0,10447000000.0,10393000000.0,10356000000.0,10322000000.0
Diluted EPS,,1.43,1.26,0.98,1.0,0.94
Basic EPS,,1.46,1.29,1.0,1.03,0.96
Diluted NI Availto Com Stockholders,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Net Income Common Stockholders,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Net Income,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Net Income Including Noncontrolling Interests,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Net Income Continuous Operations,20004000000.0,15328000000.0,13485000000.0,10431000000.0,10624000000.0,
Earnings From Equity Interest Net Of Tax,-20000000.0,-3000000.0,7000000.0,-85000000.0,0.0,
Tax Provision,2325000000.0,2706000000.0,1767000000.0,2467000000.0,3062000000.0,
Pretax Income,22349000000.0,18037000000.0,15245000000.0,12983000000.0,13686000000.0,
Other Income Expense,468000000.0,-27000000.0,-18000000.0,-2673000000.0,289000000.0,
Other Non Operating Income Expenses,-106000000.0,-9000000.0,-58000000.0,-248000000.0,19000000.0,
Gain On Sale Of Security,574000000.0,-18000000.0,40000000.0,-2425000000.0,270000000.0,
Net Non Operating Interest Income Expense,678000000.0,653000000.0,591000000.0,349000000.0,188000000.0,
Interest Expense Non Operating,570000000.0,603000000.0,589000000.0,644000000.0,713000000.0,
Interest Income Non Operating,1248000000.0,1256000000.0,1180000000.0,993000000.0,901000000.0,
Operating Income,21203000000.0,17411000000.0,14672000000.0,15307000000.0,13209000000.0,
Operating Expense,16163000000.0,13584000000.0,13650000000.0,12632000000.0,16066000000.0,
Other Operating Expenses,176000000.0,262000000.0,97000000.0,228000000.0,154000000.0,
Selling General And Administration,15987000000.0,13322000000.0,13553000000.0,12404000000.0,15912000000.0,
Selling And Marketing Expense,13124000000.0,10609000000.0,10512000000.0,9662000000.0,12902000000.0,
General And Administrative Expense,2863000000.0,2713000000.0,3041000000.0,2742000000.0,3010000000.0,
Other Gand A,2863000000.0,2713000000.0,3041000000.0,2742000000.0,3010000000.0,
Gross Profit,37366000000.0,30995000000.0,28322000000.0,27939000000.0,29275000000.0,
Cost Of Revenue,150426000000.0,127882000000.0,119655000000.0,115374000000.0,140686000000.0,
Total Revenue,187792000000.0,158877000000.0,147977000000.0,143313000000.0,169961000000.0,
Operating Revenue,187792000000.0,158877000000.0,147977000000.0,143313000000.0,169961000000.0,
