,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-15575969.97798,340680000.0,-171171000.0,253052000.0,3356955.595609,
Tax Rate For Calcs,0.177,0.17,0.143,0.164,0.152589,
Normalized EBITDA,36589000000.0,33741000000.0,32523000000.0,30279000000.0,26022000000.0,
Total Unusual Items,-88000000.0,2004000000.0,-1197000000.0,1543000000.0,22000000.0,
Total Unusual Items Excluding Goodwill,-88000000.0,2004000000.0,-1197000000.0,1543000000.0,22000000.0,
Net Income From Continuing Operation Net Minority Interest,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Reconciled Depreciation,4205000000.0,3985000000.0,3708000000.0,3413000000.0,1563000000.0,
Reconciled Cost Of Revenue,40613000000.0,36474000000.0,35507000000.0,33712000000.0,37575000000.0,
EBITDA,36501000000.0,35745000000.0,31326000000.0,31822000000.0,26044000000.0,
EBIT,32296000000.0,31760000000.0,27618000000.0,28409000000.0,24481000000.0,
Net Interest Income,1035000000.0,1189000000.0,1023000000.0,967000000.0,1041000000.0,
Interest Expense,53000000.0,54000000.0,67000000.0,94000000.0,69000000.0,
Interest Income,1088000000.0,1243000000.0,1090000000.0,1061000000.0,1110000000.0,
Normalized Income,26608424030.02202,24637680000.0,24644829000.0,22372052000.0,20668356955.595608,
Net Income From Continuing And Discontinued Operation,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Total Expenses,65497000000.0,59747000000.0,57317000000.0,55067000000.0,62613000000.0,
Total Operating Income As Reported,30972000000.0,28521000000.0,27425000000.0,25472000000.0,23697000000.0,
Diluted Average Shares,,12419000000.0,12495000000.0,13396000000.0,12602000000.0,12696000000.0
Basic Average Shares,,12290000000.0,12343000000.0,12415000000.0,12488000000.0,12581000000.0
Diluted EPS,,2.12,1.89,1.89,1.64,1.55
Basic EPS,,2.14,1.91,1.91,1.66,1.56
Diluted NI Availto Com Stockholders,26536000000.0,26301000000.0,23619000000.0,25303000000.0,20687000000.0,
Average Dilution Earnings,,,,1641000000.0,,
Net Income Common Stockholders,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Net Income,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Net Income Including Noncontrolling Interests,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Net Income Continuous Operations,26536000000.0,26301000000.0,23619000000.0,23662000000.0,20687000000.0,
Tax Provision,5707000000.0,5405000000.0,3932000000.0,4653000000.0,3725000000.0,
Pretax Income,32243000000.0,31706000000.0,27551000000.0,28315000000.0,24412000000.0,
Other Income Expense,236000000.0,1996000000.0,-897000000.0,1876000000.0,-326000000.0,
Other Non Operating Income Expenses,411000000.0,99000000.0,268000000.0,359000000.0,-92000000.0,
Earnings From Equity Interest,-87000000.0,-107000000.0,32000000.0,-26000000.0,-256000000.0,
Gain On Sale Of Security,-88000000.0,2004000000.0,-1197000000.0,1543000000.0,22000000.0,
Net Non Operating Interest Income Expense,1035000000.0,1189000000.0,1023000000.0,967000000.0,1041000000.0,
Interest Expense Non Operating,53000000.0,54000000.0,67000000.0,94000000.0,69000000.0,
Interest Income Non Operating,1088000000.0,1243000000.0,1090000000.0,1061000000.0,1110000000.0,
Operating Income,30972000000.0,28521000000.0,27425000000.0,25472000000.0,23697000000.0,
Operating Expense,24884000000.0,23273000000.0,21810000000.0,21355000000.0,25038000000.0,
Research And Development,13116000000.0,12447000000.0,11860000000.0,11903000000.0,12113000000.0,
Selling General And Administration,11768000000.0,10826000000.0,9950000000.0,9452000000.0,12925000000.0,
Selling And Marketing Expense,7363000000.0,7227000000.0,6792000000.0,6426000000.0,7719000000.0,
General And Administrative Expense,4405000000.0,3599000000.0,3158000000.0,3026000000.0,5206000000.0,
Other Gand A,4405000000.0,3599000000.0,3158000000.0,3026000000.0,5206000000.0,
Gross Profit,55856000000.0,51794000000.0,49235000000.0,46827000000.0,48735000000.0,
Cost Of Revenue,40613000000.0,36474000000.0,35507000000.0,33712000000.0,37575000000.0,
Total Revenue,96469000000.0,88268000000.0,84742000000.0,80539000000.0,86310000000.0,
Operating Revenue,96469000000.0,88268000000.0,84742000000.0,80539000000.0,86310000000.0,
