,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-104160000.0,-1214010000.0,-186025000.0,-56056000.0,56378766.140603,
Tax Rate For Calcs,0.21,0.21,0.175,0.392,0.045911,
Normalized EBITDA,3976000000.0,555000000.0,1922000000.0,2233000000.0,4340000000.0,
Total Unusual Items,-496000000.0,-5781000000.0,-1063000000.0,-143000000.0,1228000000.0,
Total Unusual Items Excluding Goodwill,-496000000.0,-5781000000.0,-1063000000.0,-143000000.0,1228000000.0,
Net Income From Continuing Operation Net Minority Interest,-126000000.0,-16639000000.0,-1610000000.0,-381000000.0,2669000000.0,
Reconciled Depreciation,2647000000.0,3612000000.0,2569000000.0,2551000000.0,2513000000.0,
Reconciled Cost Of Revenue,8676000000.0,11287000000.0,8286000000.0,7507000000.0,8359000000.0,
EBITDA,3480000000.0,-5226000000.0,859000000.0,2090000000.0,5568000000.0,
EBIT,833000000.0,-8838000000.0,-1710000000.0,-461000000.0,3055000000.0,
Net Interest Income,626000000.0,130000000.0,80000000.0,145000000.0,117000000.0,
Interest Expense,234000000.0,248000000.0,294000000.0,258000000.0,267000000.0,
Interest Income,822000000.0,340000000.0,320000000.0,323000000.0,356000000.0,
Normalized Income,265840000.0,-12072010000.0,-733025000.0,-294056000.0,1497378766.140603,
Net Income From Continuing And Discontinued Operation,-126000000.0,-16639000000.0,-1610000000.0,-381000000.0,2669000000.0,
Total Expenses,13791000000.0,16719000000.0,13854000000.0,13445000000.0,13963000000.0,
Total Operating Income As Reported,412000000.0,-9057000000.0,-1964000000.0,-1069000000.0,2585000000.0,
Diluted Average Shares,4319000000.0,4292000000.0,4267000000.0,4242000000.0,4260000000.0,
Basic Average Shares,4319000000.0,4292000000.0,4267000000.0,4242000000.0,4222000000.0,
Diluted EPS,-0.03,-3.88,-0.38,-0.09,0.63,
Basic EPS,-0.03,-3.88,-0.38,-0.09,0.63,
Diluted NI Availto Com Stockholders,-126000000.0,-16639000000.0,-1610000000.0,-381000000.0,2669000000.0,
Net Income Common Stockholders,-126000000.0,-16639000000.0,-1610000000.0,-381000000.0,2669000000.0,
Net Income,-126000000.0,-16639000000.0,-1610000000.0,-381000000.0,2669000000.0,
Minority Interests,27000000.0,350000000.0,44000000.0,56000000.0,9000000.0,
Net Income Including Noncontrolling Interests,-153000000.0,-16989000000.0,-1654000000.0,-437000000.0,2660000000.0,
Net Income Continuous Operations,-153000000.0,-16989000000.0,-1654000000.0,-437000000.0,2660000000.0,
Tax Provision,752000000.0,7903000000.0,-350000000.0,-282000000.0,128000000.0,
Pretax Income,599000000.0,-9086000000.0,-2004000000.0,-719000000.0,2788000000.0,
Other Income Expense,-496000000.0,-5781000000.0,-1063000000.0,-143000000.0,1228000000.0,
Special Income Charges,-135000000.0,-5732000000.0,-1034000000.0,-417000000.0,1055000000.0,
Other Special Charges,44000000.0,36000000.0,778000000.0,,-1183000000.0,757000000.0
Write Off,97000000.0,3503000000.0,91000000.0,288000000.0,97000000.0,
Restructuring And Mergern Acquisition,-6000000.0,2193000000.0,165000000.0,129000000.0,31000000.0,
Gain On Sale Of Security,-361000000.0,-49000000.0,-29000000.0,274000000.0,173000000.0,
Net Non Operating Interest Income Expense,626000000.0,130000000.0,80000000.0,145000000.0,117000000.0,
Total Other Finance Cost,-38000000.0,-38000000.0,-54000000.0,-80000000.0,-28000000.0,
Interest Expense Non Operating,234000000.0,248000000.0,294000000.0,258000000.0,267000000.0,
Interest Income Non Operating,822000000.0,340000000.0,320000000.0,323000000.0,356000000.0,
Operating Income,469000000.0,-3435000000.0,-1021000000.0,-721000000.0,1443000000.0,
Operating Expense,5115000000.0,5432000000.0,5568000000.0,5938000000.0,5604000000.0,
Research And Development,3876000000.0,4049000000.0,4239000000.0,4382000000.0,3987000000.0,
Selling General And Administration,1239000000.0,1383000000.0,1329000000.0,1556000000.0,1617000000.0,
Gross Profit,5584000000.0,1997000000.0,4547000000.0,5217000000.0,7047000000.0,
Cost Of Revenue,8676000000.0,11287000000.0,8286000000.0,7507000000.0,8359000000.0,
Total Revenue,14260000000.0,13284000000.0,12833000000.0,12724000000.0,15406000000.0,
Operating Revenue,14260000000.0,13284000000.0,12833000000.0,12724000000.0,15406000000.0,
