,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-44365234.375,1320000.0,-18480000.0,-32560000.0,-10126137.918724,
Tax Rate For Calcs,0.115234,0.12,0.11,0.22,0.166002,
Normalized EBITDA,28648000000.0,22046000000.0,19039000000.0,17832000000.0,20176000000.0,
Total Unusual Items,-385000000.0,11000000.0,-168000000.0,-148000000.0,-61000000.0,
Total Unusual Items Excluding Goodwill,-385000000.0,11000000.0,-168000000.0,-148000000.0,-61000000.0,
Net Income From Continuing Operation Net Minority Interest,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Reconciled Depreciation,4460000000.0,4027000000.0,3637000000.0,3374000000.0,3172000000.0,
Reconciled Cost Of Revenue,8839000000.0,7375000000.0,7308000000.0,6640000000.0,7695000000.0,
EBITDA,28263000000.0,22057000000.0,18871000000.0,17684000000.0,20115000000.0,
EBIT,23803000000.0,18030000000.0,15234000000.0,14310000000.0,16943000000.0,
Net Interest Income,573000000.0,461000000.0,427000000.0,513000000.0,484000000.0,
Interest Expense,251000000.0,208000000.0,128000000.0,127000000.0,136000000.0,
Interest Income,731000000.0,661000000.0,540000000.0,585000000.0,588000000.0,
Normalized Income,21178634765.625,15678320000.0,13614520000.0,12484440000.0,14067873862.081276,
Net Income From Continuing And Discontinued Operation,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Total Expenses,25021000000.0,23239000000.0,24224000000.0,22637000000.0,23727000000.0,
Total Operating Income As Reported,23364000000.0,17350000000.0,14847000000.0,13818000000.0,16384000000.0,
Diluted Average Shares,,2600000000.0,2610000000.0,2625000000.0,2630000000.0,2641000000.0
Basic Average Shares,,2529000000.0,2534000000.0,2545000000.0,2566000000.0,2576000000.0
Diluted EPS,,6.03,5.16,4.71,5.33,4.39
Basic EPS,,6.2,5.31,4.86,5.46,4.5
Diluted NI Availto Com Stockholders,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Net Income Common Stockholders,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Net Income,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Net Income Including Noncontrolling Interests,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Net Income Continuous Operations,20838000000.0,15688000000.0,13465000000.0,12369000000.0,14017000000.0,
Tax Provision,2714000000.0,2134000000.0,1641000000.0,1814000000.0,2790000000.0,
Pretax Income,23552000000.0,17822000000.0,15106000000.0,14183000000.0,16807000000.0,
Other Income Expense,-385000000.0,11000000.0,-168000000.0,-148000000.0,-61000000.0,
Gain On Sale Of Security,-385000000.0,11000000.0,-168000000.0,-148000000.0,-61000000.0,
Net Non Operating Interest Income Expense,573000000.0,461000000.0,427000000.0,513000000.0,484000000.0,
Total Other Finance Cost,-93000000.0,-8000000.0,-15000000.0,-55000000.0,-32000000.0,
Interest Expense Non Operating,251000000.0,208000000.0,128000000.0,127000000.0,136000000.0,
Interest Income Non Operating,731000000.0,661000000.0,540000000.0,585000000.0,588000000.0,
Operating Income,23364000000.0,17350000000.0,14847000000.0,13818000000.0,16384000000.0,
Operating Expense,16182000000.0,15864000000.0,16916000000.0,15997000000.0,16032000000.0,
Research And Development,12180000000.0,11177000000.0,10537000000.0,9978000000.0,10517000000.0,
Selling General And Administration,4002000000.0,4687000000.0,6379000000.0,6019000000.0,5515000000.0,
Selling And Marketing Expense,3240000000.0,2822000000.0,2721000000.0,2564000000.0,3226000000.0,
General And Administrative Expense,762000000.0,1865000000.0,3658000000.0,3455000000.0,2289000000.0,
Other Gand A,762000000.0,1865000000.0,3658000000.0,3455000000.0,2289000000.0,
Gross Profit,39546000000.0,33214000000.0,31763000000.0,29815000000.0,32416000000.0,
Cost Of Revenue,8839000000.0,7375000000.0,7308000000.0,6640000000.0,7695000000.0,
Total Revenue,48385000000.0,40589000000.0,39071000000.0,36455000000.0,40111000000.0,
Operating Revenue,47866000000.0,40155000000.0,38682000000.0,36075000000.0,39777000000.0,
