,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250516C00100000,2025-04-07 15:26:16+00:00,100.0,90.6,73.2,75.05,11.869995,15.0768385,4,188,1.1821329956054685,True,REGULAR,USD
1,AAPL250516C00105000,2025-04-03 19:08:10+00:00,105.0,75.4,68.85,69.85,-23.129997,-23.475082,1,1,1.1284223266601563,True,REGULAR,USD
2,AAPL250516C00110000,2025-03-28 16:37:15+00:00,110.0,109.68,64.15,65.05,0.0,0.0,1,12,1.0759323547363282,True,REGULAR,USD
3,AAPL250516C00115000,2025-04-03 19:08:10+00:00,115.0,56.95,59.45,60.35,-31.609997,-35.693314,2,3,1.0271044738769533,True,REGULAR,USD
4,AAPL250516C00120000,2025-04-08 18:05:02+00:00,120.0,52.25,54.9,55.65,-10.419998,-16.626772,17,524,0.9832765344238281,True,REGULAR,USD
5,AAPL250516C00125000,2025-04-07 18:21:14+00:00,125.0,59.55,50.35,51.0,0.0,0.0,9,17,0.9377447631835938,True,REGULAR,USD
6,AAPL250516C00130000,2025-04-08 19:50:00+00:00,130.0,43.25,45.85,46.45,-8.650002,-16.666668,6,20,0.8947764428710936,True,REGULAR,USD
7,AAPL250516C00135000,2025-04-08 19:32:35+00:00,135.0,38.95,41.45,42.05,-9.649998,-19.855963,6,47,0.8568129553222656,True,REGULAR,USD
8,AAPL250516C00140000,2025-04-08 14:08:51+00:00,140.0,39.3,37.2,39.45,-3.3500023,-7.854636,55,65,0.8790295300292967,True,REGULAR,USD
9,AAPL250516C00145000,2025-04-08 19:24:12+00:00,145.0,31.29,33.0,35.3,-7.41,-19.147287,32,151,0.8389908679199218,True,REGULAR,USD
10,AAPL250516C00150000,2025-04-08 19:40:42+00:00,150.0,28.72,29.05,31.35,-6.08,-17.471264,55,103,0.8055439367675781,True,REGULAR,USD
11,AAPL250516C00155000,2025-04-08 19:39:05+00:00,155.0,25.3,25.2,25.8,-4.5,-15.100672,244,33,0.7251004052734374,True,REGULAR,USD
12,AAPL250516C00160000,2025-04-08 19:49:43+00:00,160.0,19.76,21.8,22.05,-8.1,-29.073942,152,396,0.6981231359863282,True,REGULAR,USD
13,AAPL250516C00165000,2025-04-08 19:48:38+00:00,165.0,17.85,18.35,20.45,-5.3500004,-23.060347,320,341,0.7110624597167969,True,REGULAR,USD
14,AAPL250516C00170000,2025-04-08 19:59:15+00:00,170.0,15.3,15.25,15.65,-3.4000006,-18.18182,592,547,0.6457554956054687,True,REGULAR,USD
