,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250815P00105000,2025-04-08 17:49:32+00:00,105.0,2.31,2.44,2.7,0.77,50.0,165.0,1205,0.6607699938964844,False,REGULAR,USD
1,AAPL250815P00110000,2025-04-08 19:23:00+00:00,110.0,2.88,2.83,2.97,0.98000014,51.578957,16.0,71,0.6325720336914062,False,REGULAR,USD
2,AAPL250815P00115000,2025-04-08 19:21:25+00:00,115.0,3.65,3.3,3.45,1.5400002,72.985794,20.0,54,0.6113320117187502,False,REGULAR,USD
3,AAPL250815P00120000,2025-04-08 19:50:45+00:00,120.0,4.2,3.9,4.05,1.3899999,49.466187,129.0,1715,0.5936319934082033,False,REGULAR,USD
4,AAPL250815P00125000,2025-04-08 19:59:49+00:00,125.0,4.6,4.55,4.7,1.5799999,52.317883,1280.0,204,0.574772318725586,False,REGULAR,USD
5,AAPL250815P00130000,2025-04-08 19:43:57+00:00,130.0,6.0,5.3,5.55,2.15,55.844162,56.0,315,0.5589033367919922,False,REGULAR,USD
6,AAPL250815P00135000,2025-04-08 19:39:46+00:00,135.0,6.83,6.15,6.45,2.3600001,52.796425,48.0,241,0.5421188366699221,False,REGULAR,USD
7,AAPL250815P00140000,2025-04-08 19:50:48+00:00,140.0,7.55,7.15,7.5,2.3200002,44.359467,68.0,420,0.5269212347412109,False,REGULAR,USD
8,AAPL250815P00145000,2025-04-08 19:35:31+00:00,145.0,8.57,8.25,8.65,2.8199997,49.043472,48.0,335,0.5110522528076171,False,REGULAR,USD
9,AAPL250815P00150000,2025-04-08 19:59:09+00:00,150.0,9.8,9.55,9.9,3.15,47.36842,263.0,823,0.5009205181884766,False,REGULAR,USD
10,AAPL250815P00155000,2025-04-08 17:32:28+00:00,155.0,11.38,11.0,11.3,3.48,44.050632,212.0,1055,0.48474636352539063,False,REGULAR,USD
11,AAPL250815P00160000,2025-04-08 19:44:10+00:00,160.0,13.88,12.6,12.9,3.9899998,40.343777,292.0,979,0.4697928997802735,False,REGULAR,USD
12,AAPL250815P00165000,2025-04-08 19:49:41+00:00,165.0,16.0,14.35,14.65,4.95,44.796375,238.0,1708,0.45435115966796874,False,REGULAR,USD
13,AAPL250815P00170000,2025-04-08 19:58:50+00:00,170.0,16.7,16.05,16.6,4.370001,35.44202,469.0,1652,0.4392756268310547,False,REGULAR,USD
14,AAPL250815P00175000,2025-04-08 19:42:44+00:00,175.0,18.55,18.55,19.0,4.6499996,33.453236,717.0,2127,0.4304256176757813,True,REGULAR,USD
15,AAPL250815P00180000,2025-04-08 19:51:33+00:00,180.0,21.5,20.3,21.3,4.700001,27.976196,551.0,2944,0.4138547384643554,True,REGULAR,USD
16,AAPL250815P00185000,2025-04-08 19:45:44+00:00,185.0,24.15,21.8,24.5,5.4799995,29.351898,402.0,2401,0.414068359375,True,REGULAR,USD
17,AAPL250815P00190000,2025-04-08 19:53:46+00:00,190.0,27.4,25.1,27.35,5.1499996,23.146065,1009.0,3613,0.4003050692749024,True,REGULAR,USD
18,AAPL250815P00195000,2025-04-08 19:42:24+00:00,195.0,31.19,29.1,30.6,6.74,27.566462,215.0,2836,0.3910888528442382,True,REGULAR,USD
19,AAPL250815P00200000,2025-04-08 19:39:36+00:00,200.0,35.2,31.25,33.9,7.59,27.49004,110.0,5086,0.3772645281982422,True,REGULAR,USD
20,AAPL250815P00205000,2025-04-08 17:58:48+00:00,205.0,37.0,36.15,37.6,6.799999,22.516554,53.0,5269,0.36865865722656255,True,REGULAR,USD
21,AAPL250815P00210000,2025-04-08 18:58:56+00:00,210.0,43.28,40.1,41.4,9.52,28.199055,55.0,23331,0.35681795532226557,True,REGULAR,USD
22,AAPL250815P00215000,2025-04-08 19:53:47+00:00,215.0,45.73,42.8,45.5,6.880001,17.70914,166.0,3376,0.3487613952636719,True,REGULAR,USD
23,AAPL250815P00220000,2025-04-08 19:50:32+00:00,220.0,50.56,48.35,49.55,8.77,20.985884,391.0,4667,0.3308782733154296,True,REGULAR,USD
24,AAPL250815P00225000,2025-04-08 19:19:45+00:00,225.0,54.33,51.45,54.2,6.5300026,13.661093,131.0,4063,0.33399103515625,True,REGULAR,USD
25,AAPL250815P00230000,2025-04-08 19:10:00+00:00,230.0,59.65,56.0,58.75,7.540001,14.469394,40.0,2384,0.3270330969238281,True,REGULAR,USD
26,AAPL250815P00235000,2025-04-07 19:00:53+00:00,235.0,59.82,60.75,63.5,5.040001,9.20044,11.0,1505,0.32739930419921875,True,REGULAR,USD
27,AAPL250815P00240000,2025-04-08 19:19:45+00:00,240.0,70.02,66.75,68.1,12.069996,20.828293,28.0,1393,0.3086006640625,True,REGULAR,USD
28,AAPL250815P00245000,2025-04-08 19:39:31+00:00,245.0,74.89,70.3,73.2,10.220001,15.803311,3.0,784,0.33423517333984376,True,REGULAR,USD
29,AAPL250815P00250000,2025-04-08 18:36:24+00:00,250.0,74.72,75.3,78.05,13.530003,22.11146,43.0,1109,0.3327703442382813,True,REGULAR,USD
30,AAPL250815P00255000,2025-04-08 13:48:26+00:00,255.0,68.9,80.3,83.2,9.900002,16.779663,5.0,368,0.36377589355468753,True,REGULAR,USD
31,AAPL250815P00260000,2025-04-07 19:22:10+00:00,260.0,81.05,85.25,88.1,0.0,0.0,300.0,582,0.3667055517578125,True,REGULAR,USD
32,AAPL250815P00265000,2025-03-14 13:39:56+00:00,265.0,52.42,90.15,93.35,0.0,0.0,1.0,12,0.40698835205078127,True,REGULAR,USD
33,AAPL250815P00270000,2025-04-04 19:49:09+00:00,270.0,79.4,95.15,98.25,0.0,0.0,47.0,45,0.41040628662109374,True,REGULAR,USD
34,AAPL250815P00275000,2025-03-11 18:21:24+00:00,275.0,54.45,100.15,103.35,0.0,0.0,9.0,0,0.43408769042968753,True,REGULAR,USD
35,AAPL250815P00280000,2025-03-21 19:50:00+00:00,280.0,64.05,105.15,108.25,0.0,0.0,1.0,0,0.436529072265625,True,REGULAR,USD
36,AAPL250815P00285000,2025-03-10 13:31:21+00:00,285.0,50.75,110.15,113.3,0.0,0.0,2.0,0,0.4545952978515625,True,REGULAR,USD
37,AAPL250815P00290000,2025-02-24 15:13:39+00:00,290.0,42.55,68.25,69.25,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
38,AAPL250815P00300000,2025-04-01 14:07:06+00:00,300.0,77.45,125.15,128.2,0.0,0.0,1.0,0,0.47876497802734375,True,REGULAR,USD
39,AAPL250815P00305000,2024-12-20 20:18:19+00:00,305.0,51.05,74.0,74.95,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD
40,AAPL250815P00315000,2024-12-16 05:02:04+00:00,315.0,94.41,90.4,94.1,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
