,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMD260320C00050000,2025-04-08 19:14:00+00:00,50.0,35.1,0.0,0.0,-4.1500015,-10.573253,378,0,1.0000000000000003e-05,True,REGULAR,USD
1,AMD260320C00055000,2025-04-08 18:52:11+00:00,55.0,33.3,0.0,0.0,-0.6500015,-1.9145848,75,0,1.0000000000000003e-05,True,REGULAR,USD
2,AMD260320C00060000,2025-04-08 15:25:43+00:00,60.0,33.4,0.0,0.0,1.9500008,6.2003202,3,0,1.0000000000000003e-05,True,REGULAR,USD
3,AMD260320C00065000,2025-04-08 18:10:06+00:00,65.0,27.2,0.0,0.0,-1.8499985,-6.368325,40,0,1.0000000000000003e-05,True,REGULAR,USD
4,AMD260320C00070000,2025-04-08 17:57:42+00:00,70.0,24.5,0.0,0.0,-1.4200001,-5.478395,7,0,1.0000000000000003e-05,True,REGULAR,USD
5,AMD260320C00075000,2025-04-08 19:57:04+00:00,75.0,19.4,0.0,0.0,-3.8500004,-16.559141,38,0,1.0000000000000003e-05,True,REGULAR,USD
6,AMD260320C00080000,2025-04-08 19:58:52+00:00,80.0,17.1,0.0,0.0,-3.4499989,-16.788317,284,0,0.007822421875,False,REGULAR,USD
7,AMD260320C00085000,2025-04-08 19:59:42+00:00,85.0,15.1,0.0,0.0,-3.0,-16.574585,174,0,0.015634843750000002,False,REGULAR,USD
8,AMD260320C00090000,2025-04-08 19:53:49+00:00,90.0,12.95,0.0,0.0,-2.6000004,-16.720259,83,0,0.0312596875,False,REGULAR,USD
9,AMD260320C00095000,2025-04-08 19:47:20+00:00,95.0,10.85,0.0,0.0,-1.75,-13.888888,169,0,0.062509375,False,REGULAR,USD
10,AMD260320C00100000,2025-04-08 19:59:29+00:00,100.0,9.9,0.0,0.0,-2.0500002,-17.154814,753,0,0.062509375,False,REGULAR,USD
11,AMD260320C00105000,2025-04-08 19:40:11+00:00,105.0,8.2,0.0,0.0,-2.1100006,-20.465572,476,0,0.062509375,False,REGULAR,USD
12,AMD260320C00110000,2025-04-08 19:58:49+00:00,110.0,7.42,0.0,0.0,-1.79,-19.435396,55,0,0.062509375,False,REGULAR,USD
13,AMD260320C00115000,2025-04-08 19:51:31+00:00,115.0,6.22,0.0,0.0,-1.6800003,-21.265827,50,0,0.062509375,False,REGULAR,USD
14,AMD260320C00120000,2025-04-08 19:58:07+00:00,120.0,5.57,0.0,0.0,-1.0099998,-15.349541,2279,0,0.12500875,False,REGULAR,USD
15,AMD260320C00125000,2025-04-08 18:29:31+00:00,125.0,5.15,0.0,0.0,-0.75,-12.711864,243,0,0.12500875,False,REGULAR,USD
16,AMD260320C00130000,2025-04-08 19:57:52+00:00,130.0,4.13,0.0,0.0,-0.8199997,-16.56565,139,0,0.12500875,False,REGULAR,USD
17,AMD260320C00135000,2025-04-08 17:43:04+00:00,135.0,4.2,0.0,0.0,-0.10000038,-2.3255901,34,0,0.12500875,False,REGULAR,USD
18,AMD260320C00140000,2025-04-08 19:47:19+00:00,140.0,2.98,0.0,0.0,-0.8599999,-22.395832,249,0,0.12500875,False,REGULAR,USD
19,AMD260320C00145000,2025-04-08 18:56:16+00:00,145.0,2.88,0.0,0.0,-0.3699999,-11.384612,36,0,0.12500875,False,REGULAR,USD
20,AMD260320C00150000,2025-04-08 19:59:07+00:00,150.0,2.38,0.0,0.0,-0.52,-17.931034,591,0,0.12500875,False,REGULAR,USD
21,AMD260320C00155000,2025-04-08 19:36:28+00:00,155.0,2.02,0.0,0.0,-0.48000002,-19.2,385,0,0.12500875,False,REGULAR,USD
22,AMD260320C00160000,2025-04-08 19:39:10+00:00,160.0,1.77,0.0,0.0,-0.32999992,-15.714283,30,0,0.12500875,False,REGULAR,USD
23,AMD260320C00165000,2025-04-08 13:33:43+00:00,165.0,2.0,0.0,0.0,0.00999999,0.5025121,7,0,0.12500875,False,REGULAR,USD
24,AMD260320C00170000,2025-04-08 19:45:02+00:00,170.0,1.4,0.0,0.0,-0.19000006,-11.949689,26,0,0.12500875,False,REGULAR,USD
25,AMD260320C00175000,2025-04-08 19:39:44+00:00,175.0,1.21,0.0,0.0,-0.28999996,-19.33333,3,0,0.12500875,False,REGULAR,USD
26,AMD260320C00180000,2025-04-08 19:37:25+00:00,180.0,1.09,0.0,0.0,-0.26999998,-19.85294,68,0,0.12500875,False,REGULAR,USD
27,AMD260320C00185000,2025-04-07 17:25:54+00:00,185.0,1.15,0.0,0.0,0.0,0.0,8,0,0.12500875,False,REGULAR,USD
28,AMD260320C00190000,2025-04-08 18:05:04+00:00,190.0,1.0,0.0,0.0,0.050000012,5.263159,2,0,0.2500075,False,REGULAR,USD
29,AMD260320C00195000,2025-04-08 15:54:35+00:00,195.0,0.99,0.0,0.0,0.00999999,1.0204072,1,0,0.2500075,False,REGULAR,USD
30,AMD260320C00200000,2025-04-08 19:25:58+00:00,200.0,0.75,0.0,0.0,-0.04000002,-5.0632935,71,0,0.2500075,False,REGULAR,USD
