,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMD250516P00025000,2025-04-08 19:38:19+00:00,25.0,0.08,0.0,0.0,0.02,33.333336,92,0,0.500005,False,REGULAR,USD
1,AMD250516P00030000,2025-04-08 19:55:49+00:00,30.0,0.16,0.0,0.0,0.06999999,77.77776,111,0,0.500005,False,REGULAR,USD
2,AMD250516P00035000,2025-04-08 19:54:27+00:00,35.0,0.3,0.0,0.0,0.13000001,76.4706,59,0,0.500005,False,REGULAR,USD
3,AMD250516P00040000,2025-04-08 19:59:15+00:00,40.0,0.49,0.0,0.0,0.23000002,88.46155,343,0,0.500005,False,REGULAR,USD
4,AMD250516P00045000,2025-04-08 19:53:28+00:00,45.0,0.81,0.0,0.0,0.4,97.560974,130,0,0.500005,False,REGULAR,USD
5,AMD250516P00050000,2025-04-08 19:59:19+00:00,50.0,1.22,0.0,0.0,0.53000003,76.8116,1008,0,0.2500075,False,REGULAR,USD
6,AMD250516P00055000,2025-04-08 19:56:58+00:00,55.0,1.81,0.0,0.0,0.7299999,67.59258,785,0,0.2500075,False,REGULAR,USD
7,AMD250516P00060000,2025-04-08 19:59:19+00:00,60.0,2.57,0.0,0.0,1.03,66.88312,1915,0,0.2500075,False,REGULAR,USD
8,AMD250516P00065000,2025-04-08 19:59:59+00:00,65.0,3.6,0.0,0.0,1.2199998,51.26049,1463,0,0.12500875,False,REGULAR,USD
9,AMD250516P00070000,2025-04-08 19:59:26+00:00,70.0,5.0,0.0,0.0,1.5699999,45.772594,1203,0,0.062509375,False,REGULAR,USD
10,AMD250516P00075000,2025-04-08 19:59:24+00:00,75.0,6.82,0.0,0.0,2.0,41.493774,1832,0,0.0312596875,False,REGULAR,USD
11,AMD250516P00080000,2025-04-08 19:59:49+00:00,80.0,8.95,0.0,0.0,2.3399997,35.4009,2677,0,1.0000000000000003e-05,True,REGULAR,USD
12,AMD250516P00085000,2025-04-08 19:58:24+00:00,85.0,11.8,0.0,0.0,2.6999998,29.670324,4443,0,1.0000000000000003e-05,True,REGULAR,USD
13,AMD250516P00090000,2025-04-08 19:57:42+00:00,90.0,15.0,0.0,0.0,3.37,28.976784,1264,0,1.0000000000000003e-05,True,REGULAR,USD
14,AMD250516P00095000,2025-04-08 19:58:06+00:00,95.0,18.76,0.0,0.0,3.71,24.651163,558,0,1.0000000000000003e-05,True,REGULAR,USD
15,AMD250516P00100000,2025-04-08 19:57:23+00:00,100.0,22.93,0.0,0.0,4.1499996,22.097975,409,0,1.0000000000000003e-05,True,REGULAR,USD
16,AMD250516P00105000,2025-04-08 19:30:00+00:00,105.0,27.15,0.0,0.0,4.17,18.146214,423,0,1.0000000000000003e-05,True,REGULAR,USD
17,AMD250516P00110000,2025-04-08 19:52:10+00:00,110.0,32.57,0.0,0.0,5.299999,19.435274,227,0,1.0000000000000003e-05,True,REGULAR,USD
18,AMD250516P00115000,2025-04-08 19:43:32+00:00,115.0,37.83,0.0,0.0,5.3600006,16.507547,98,0,1.0000000000000003e-05,True,REGULAR,USD
19,AMD250516P00120000,2025-04-08 19:49:13+00:00,120.0,43.1,0.0,0.0,5.5999985,14.933331,50,0,1.0000000000000003e-05,True,REGULAR,USD
20,AMD250516P00125000,2025-04-08 19:58:10+00:00,125.0,46.9,0.0,0.0,4.290001,10.068061,56,0,1.0000000000000003e-05,True,REGULAR,USD
21,AMD250516P00130000,2025-04-08 19:47:46+00:00,130.0,53.15,0.0,0.0,5.8500023,12.36787,30,0,1.0000000000000003e-05,True,REGULAR,USD
22,AMD250516P00135000,2025-04-08 19:34:10+00:00,135.0,57.6,0.0,0.0,5.1499977,9.818871,954,0,1.0000000000000003e-05,True,REGULAR,USD
23,AMD250516P00140000,2025-04-08 19:32:19+00:00,140.0,62.23,0.0,0.0,5.329998,9.367308,164,0,1.0000000000000003e-05,True,REGULAR,USD
24,AMD250516P00145000,2025-04-08 13:36:10+00:00,145.0,57.57,0.0,0.0,-7.4300003,-11.430769,1,0,1.0000000000000003e-05,True,REGULAR,USD
25,AMD250516P00150000,2025-04-08 13:31:57+00:00,150.0,63.0,0.0,0.0,16.849998,36.51137,1,0,1.0000000000000003e-05,True,REGULAR,USD
26,AMD250516P00155000,2025-02-28 15:32:33+00:00,155.0,53.25,60.35,61.8,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
27,AMD250516P00160000,2025-03-10 13:51:08+00:00,160.0,58.5,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
28,AMD250516P00165000,2025-03-11 13:31:39+00:00,165.0,67.67,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
29,AMD250516P00170000,2025-02-24 15:37:27+00:00,170.0,61.37,63.2,64.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
30,AMD250516P00175000,2025-03-18 13:31:52+00:00,175.0,71.54,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
31,AMD250516P00180000,2025-02-10 17:36:55+00:00,180.0,69.03,78.9,79.7,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
32,AMD250516P00185000,2025-02-04 17:16:22+00:00,185.0,67.7,86.05,86.8,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
33,AMD250516P00190000,2025-01-17 14:36:50+00:00,190.0,68.11,78.65,79.55,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
34,AMD250516P00195000,2025-02-05 20:55:00+00:00,195.0,83.25,94.4,95.2,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
35,AMD250516P00200000,2025-03-24 17:30:27+00:00,200.0,86.54,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
36,AMD250516P00210000,2025-02-04 16:05:58+00:00,210.0,93.0,110.9,111.75,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
37,AMD250516P00220000,2024-12-16 05:02:49+00:00,220.0,71.9,92.6,93.65,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
38,AMD250516P00230000,2024-12-16 05:02:49+00:00,230.0,85.15,102.65,103.6,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
39,AMD250516P00240000,2024-12-16 05:02:49+00:00,240.0,82.9,112.5,113.75,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
40,AMD250516P00260000,2024-12-27 17:17:52+00:00,260.0,136.0,143.3,145.2,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
41,AMD250516P00310000,2024-12-27 16:29:13+00:00,310.0,185.75,193.1,195.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
