,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250425C00120000,2025-03-26 14:06:54+00:00,120.0,54.74,50.25,53.75,-29.560001,-35.065247,20.0,121,1.1713908618164064,True,REGULAR,USD
1,AMZN250425C00125000,2025-04-02 15:51:34+00:00,125.0,67.52,45.35,49.0,0.0,0.0,10.0,70,1.0966842041015625,True,REGULAR,USD
2,AMZN250425C00130000,2025-04-04 15:01:22+00:00,130.0,44.55,42.1,44.35,0.0,0.0,11.0,46,1.1533245458984376,True,REGULAR,USD
3,AMZN250425C00135000,2025-04-08 19:51:35+00:00,135.0,37.5,37.7,39.35,-4.4000015,-10.501197,21.0,21,1.074955797119141,True,REGULAR,USD
4,AMZN250425C00140000,2025-04-04 19:30:00+00:00,140.0,36.85,33.2,33.85,0.0,0.0,13.0,11,0.9567875415039062,True,REGULAR,USD
5,AMZN250425C00145000,2025-04-07 14:36:48+00:00,145.0,39.5,28.75,29.5,9.299999,30.794699,1.0,8,0.9047861083984375,True,REGULAR,USD
6,AMZN250425C00150000,2025-04-07 19:58:20+00:00,150.0,30.6,24.55,27.0,2.1000004,7.368422,1.0,9412,0.9372564868164062,True,REGULAR,USD
7,AMZN250425C00155000,2025-04-08 19:39:48+00:00,155.0,20.35,20.5,21.3,-2.5499992,-11.135368,6.0,17,0.8148211877441407,True,REGULAR,USD
8,AMZN250425C00160000,2025-04-08 19:39:48+00:00,160.0,16.55,16.95,17.55,-2.9500008,-15.128208,15.0,62,0.7821066711425781,True,REGULAR,USD
9,AMZN250425C00165000,2025-04-08 19:17:59+00:00,165.0,13.2,13.55,14.0,-3.3499994,-20.24169,31.0,413,0.7418238708496092,True,REGULAR,USD
10,AMZN250425C00170000,2025-04-08 19:58:57+00:00,170.0,10.46,10.45,10.75,-1.8900003,-15.303646,153.0,705,0.7006865869140625,True,REGULAR,USD
11,AMZN250425C00175000,2025-04-08 19:59:00+00:00,175.0,7.8,7.35,8.0,-2.4499998,-23.902437,767.0,618,0.6518589501953126,False,REGULAR,USD
12,AMZN250425C00180000,2025-04-08 19:59:32+00:00,180.0,5.55,5.55,5.7,-2.0499997,-26.97368,2475.0,1362,0.6352575537109376,False,REGULAR,USD
13,AMZN250425C00185000,2025-04-08 19:59:19+00:00,185.0,3.8,3.55,4.25,-1.6099999,-29.759703,2739.0,1905,0.6132851171875001,False,REGULAR,USD
