,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250509P00110000,2025-04-08 19:26:28+00:00,110.0,1.0,0.83,1.0,0.31,44.927536,15.0,57,0.9526371923828124,False,REGULAR,USD
1,AMZN250509P00115000,2025-04-08 19:01:10+00:00,115.0,0.99,1.09,1.2,-0.00999999,-0.99999905,1.0,25,0.9165047412109376,False,REGULAR,USD
2,AMZN250509P00120000,2025-04-08 19:50:27+00:00,120.0,1.6,1.35,1.49,0.46000004,40.35088,40.0,222,0.8801281518554687,False,REGULAR,USD
3,AMZN250509P00125000,2025-04-08 19:51:48+00:00,125.0,1.79,1.59,1.87,0.18999994,11.874996,28.0,26,0.8415543188476562,False,REGULAR,USD
4,AMZN250509P00130000,2025-04-08 19:54:42+00:00,130.0,2.24,2.02,2.31,0.6,36.58537,39.0,156,0.8105487695312499,False,REGULAR,USD
5,AMZN250509P00135000,2025-04-08 19:51:51+00:00,135.0,2.86,2.65,2.78,0.76,36.19048,12.0,1305,0.7817404638671875,False,REGULAR,USD
6,AMZN250509P00140000,2025-04-08 19:44:59+00:00,140.0,3.8,3.3,3.5,1.22,47.286823,45.0,119,0.7547631945800781,False,REGULAR,USD
7,AMZN250509P00145000,2025-04-08 18:43:55+00:00,145.0,4.55,4.0,4.4,1.9000001,71.69812,72.0,146,0.7258328198242188,False,REGULAR,USD
8,AMZN250509P00150000,2025-04-08 19:25:55+00:00,150.0,6.08,5.15,5.35,1.73,39.770115,329.0,3525,0.7030058996582031,False,REGULAR,USD
9,AMZN250509P00155000,2025-04-08 19:50:13+00:00,155.0,7.1,6.4,6.65,2.6,57.77778,212.0,137,0.6813996704101564,False,REGULAR,USD
10,AMZN250509P00160000,2025-04-08 19:58:03+00:00,160.0,8.2,7.85,8.25,1.6999998,26.153843,838.0,370,0.6605868902587892,False,REGULAR,USD
11,AMZN250509P00165000,2025-04-08 18:31:58+00:00,165.0,10.96,9.4,10.0,3.1,39.440205,94.0,387,0.6325720336914062,False,REGULAR,USD
12,AMZN250509P00170000,2025-04-08 19:57:43+00:00,170.0,12.03,11.6,11.85,2.13,21.515154,392.0,1027,0.6094399407958986,False,REGULAR,USD
13,AMZN250509P00175000,2025-04-08 19:56:57+00:00,175.0,14.7,13.75,14.35,2.9099998,24.681934,130.0,1132,0.5856975024414062,True,REGULAR,USD
14,AMZN250509P00180000,2025-04-08 16:22:38+00:00,180.0,17.85,16.4,16.85,3.75,26.595743,177.0,321,0.5574995422363282,True,REGULAR,USD
15,AMZN250509P00185000,2025-04-08 19:18:15+00:00,185.0,21.35,19.4,19.85,1.0500011,5.1724195,43.0,349,0.5329636547851562,True,REGULAR,USD
16,AMZN250509P00190000,2025-04-08 19:18:15+00:00,190.0,24.3,21.75,23.7,3.4299984,16.435066,32.0,263,0.551762294921875,True,REGULAR,USD
17,AMZN250509P00195000,2025-04-08 19:46:42+00:00,195.0,28.71,25.75,27.35,4.2599983,17.423306,74.0,412,0.529423651123047,True,REGULAR,USD
18,AMZN250509P00200000,2025-04-08 19:27:37+00:00,200.0,30.3,29.75,31.5,3.0999985,11.397053,114.0,213,0.5227098510742187,True,REGULAR,USD
19,AMZN250509P00205000,2025-04-08 19:14:24+00:00,205.0,36.15,33.85,36.15,3.4300003,10.482885,29.0,374,0.5437057348632813,True,REGULAR,USD
20,AMZN250509P00210000,2025-04-07 15:28:30+00:00,210.0,30.2,38.3,41.65,-9.529999,-23.986908,6.0,41,0.6359899682617188,True,REGULAR,USD
21,AMZN250509P00215000,2025-04-08 15:16:45+00:00,215.0,36.88,42.7,46.5,-3.7999992,-9.341198,4.0,18,0.6695589685058594,True,REGULAR,USD
22,AMZN250509P00220000,2025-04-07 17:36:19+00:00,220.0,45.35,47.15,51.35,0.0,0.0,30.0,51,0.6997100341796876,True,REGULAR,USD
23,AMZN250509P00225000,2025-04-08 17:05:24+00:00,225.0,49.55,52.3,56.35,-1.4500008,-2.8431387,5.0,4,0.7419459399414061,True,REGULAR,USD
24,AMZN250509P00230000,2025-04-04 19:33:48+00:00,230.0,53.99,56.7,61.35,0.0,0.0,2.0,2,0.7825949475097658,True,REGULAR,USD
25,AMZN250509P00235000,2025-04-03 14:28:01+00:00,235.0,54.8,61.7,66.35,0.0,0.0,2.0,0,0.8217791259765624,True,REGULAR,USD
26,AMZN250509P00295000,2025-03-31 19:27:04+00:00,295.0,105.6,122.0,126.15,0.0,0.0,,0,1.1804240197753906,True,REGULAR,USD
