,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOGL250411C00085000,2025-04-04 13:30:02+00:00,85.0,63.51,58.7,60.9,0.0,0.0,1.0,1,2.5742223144531247,True,REGULAR,USD
1,GOOGL250411C00095000,2025-04-07 15:15:27+00:00,95.0,49.26,48.7,50.95,0.23999786,0.48959172,4.0,7,2.14844212890625,True,REGULAR,USD
2,GOOGL250411C00100000,2025-04-07 18:20:38+00:00,100.0,44.36,43.75,45.95,-4.34,-8.911704,4.0,8,1.96875015625,True,REGULAR,USD
3,GOOGL250411C00105000,2025-04-07 13:30:27+00:00,105.0,45.89,38.75,41.0,8.139999,21.562912,2.0,9,1.78125109375,True,REGULAR,USD
4,GOOGL250411C00110000,2025-04-07 19:18:19+00:00,110.0,40.93,33.8,35.6,4.1800003,11.37415,2.0,21,0.500005,True,REGULAR,USD
5,GOOGL250411C00115000,2025-04-07 15:14:30+00:00,115.0,31.4,28.85,31.1,0.0,0.0,2.0,7,1.4492215039062502,True,REGULAR,USD
6,GOOGL250411C00120000,2025-04-08 19:08:32+00:00,120.0,25.25,23.95,25.85,-0.8500004,-3.2567065,4.0,16,1.15234798828125,True,REGULAR,USD
7,GOOGL250411C00125000,2025-04-07 17:46:02+00:00,125.0,24.55,19.1,21.05,1.7999992,7.9120846,2.0,128,1.0703171484375003,True,REGULAR,USD
8,GOOGL250411C00129000,2025-04-08 14:28:16+00:00,129.0,23.1,15.35,17.2,6.450001,38.738743,41.0,58,0.9863282617187501,True,REGULAR,USD
9,GOOGL250411C00130000,2025-04-08 19:52:42+00:00,130.0,15.34,14.6,16.0,-2.2600002,-12.840911,4.0,39,0.948242705078125,True,REGULAR,USD
10,GOOGL250411C00131000,2025-04-08 17:33:24+00:00,131.0,14.65,14.05,16.2,-2.7000008,-15.561963,55.0,60,1.1879923413085938,True,REGULAR,USD
11,GOOGL250411C00132000,2025-04-07 19:24:28+00:00,132.0,19.4,12.9,14.4,3.8999996,25.16129,1.0,25,0.9775392871093751,True,REGULAR,USD
12,GOOGL250411C00133000,2025-04-07 19:24:28+00:00,133.0,12.15,12.05,13.55,-2.4500008,-16.780827,5.0,68,0.9707034179687499,True,REGULAR,USD
13,GOOGL250411C00134000,2025-04-08 19:53:51+00:00,134.0,12.0,11.3,13.05,-1.6599998,-12.152268,82.0,144,1.0229541040039063,True,REGULAR,USD
14,GOOGL250411C00135000,2025-04-08 19:53:51+00:00,135.0,10.9,11.2,11.4,-2.75,-20.14652,63.0,220,0.9951172363281251,True,REGULAR,USD
