,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOGL260320P00080000,2025-04-04 16:48:48+00:00,80.0,1.5,1.67,2.0,0.0,0.0,3.0,4,0.45703667968750006,False,REGULAR,USD
1,GOOGL260320P00085000,2025-04-07 18:11:34+00:00,85.0,1.96,2.13,2.46,0.0,0.0,47.0,70,0.44275459594726563,False,REGULAR,USD
2,GOOGL260320P00090000,2025-04-08 19:10:36+00:00,90.0,2.8,2.68,3.0,0.25,9.803922,3.0,420,0.429265961303711,False,REGULAR,USD
3,GOOGL260320P00095000,2025-04-04 19:53:34+00:00,95.0,3.1,3.4,3.6,0.0,0.0,5.0,41,0.4151669812011719,False,REGULAR,USD
4,GOOGL260320P00100000,2025-04-08 18:33:48+00:00,100.0,3.85,4.1,4.4,-0.05000019,-1.2820561,236.0,1373,0.4052183502197265,False,REGULAR,USD
5,GOOGL260320P00105000,2025-04-04 16:40:47+00:00,105.0,4.55,5.15,5.35,0.25,5.8139534,14.0,374,0.3963683410644532,False,REGULAR,USD
6,GOOGL260320P00110000,2025-04-07 18:29:41+00:00,110.0,5.0,6.05,6.4,-0.5500002,-9.909913,1.0,663,0.38672488281249995,False,REGULAR,USD
7,GOOGL260320P00115000,2025-04-08 18:23:10+00:00,115.0,6.74,7.2,7.65,-0.11000013,-1.6058414,37.0,757,0.3786683227539062,False,REGULAR,USD
8,GOOGL260320P00120000,2025-04-07 19:02:26+00:00,120.0,6.4,8.75,9.1,-1.6500001,-20.496897,3.0,1517,0.3716798672485352,False,REGULAR,USD
9,GOOGL260320P00125000,2025-04-08 19:20:58+00:00,125.0,10.9,10.25,10.6,0.79999924,7.920784,94.0,3942,0.3621889953613281,False,REGULAR,USD
10,GOOGL260320P00130000,2025-04-08 18:09:45+00:00,130.0,11.14,12.0,12.4,-0.30999947,-2.707419,4.0,5850,0.3554446780395507,False,REGULAR,USD
11,GOOGL260320P00135000,2025-04-07 17:05:16+00:00,135.0,10.83,13.7,14.3,-2.9700003,-21.521742,1.0,1977,0.347113462524414,False,REGULAR,USD
12,GOOGL260320P00140000,2025-04-08 19:54:12+00:00,140.0,16.35,15.8,16.3,1.5500002,10.472974,1160.0,3291,0.3372563833618164,False,REGULAR,USD
13,GOOGL260320P00145000,2025-04-08 18:58:10+00:00,145.0,17.5,18.0,18.6,1.0400009,6.3183537,145.0,3909,0.32947447875976554,True,REGULAR,USD
14,GOOGL260320P00150000,2025-04-08 19:49:00+00:00,150.0,21.0,20.4,21.1,0.8999996,4.47761,467.0,5585,0.321723091430664,True,REGULAR,USD
15,GOOGL260320P00155000,2025-04-08 16:32:57+00:00,155.0,22.35,23.25,23.75,0.6499996,2.99539,33.0,1708,0.31308670318603515,True,REGULAR,USD
16,GOOGL260320P00160000,2025-04-08 15:43:16+00:00,160.0,25.15,26.0,26.55,1.2700005,5.31826,51.0,2358,0.3034737622070312,True,REGULAR,USD
17,GOOGL260320P00165000,2025-04-07 16:11:50+00:00,165.0,27.7,29.0,29.6,-1.5,-5.1369863,26.0,2789,0.2945932357788086,True,REGULAR,USD
18,GOOGL260320P00170000,2025-04-08 17:35:17+00:00,170.0,31.16,32.35,32.95,0.6000004,1.9633521,27.0,1288,0.28748271118164054,True,REGULAR,USD
19,GOOGL260320P00175000,2025-04-08 18:30:06+00:00,175.0,34.1,35.8,36.4,-3.1000023,-8.33334,41.0,1001,0.278327529296875,True,REGULAR,USD
20,GOOGL260320P00180000,2025-04-08 16:30:02+00:00,180.0,36.25,39.15,41.5,-0.6500015,-1.7615217,138.0,977,0.30084927673339845,True,REGULAR,USD
21,GOOGL260320P00185000,2025-04-07 14:12:54+00:00,185.0,40.0,41.6,44.25,0.0,0.0,2.0,301,0.2683788983154296,True,REGULAR,USD
22,GOOGL260320P00190000,2025-04-07 14:11:09+00:00,190.0,44.85,47.2,48.05,0.0,0.0,11.0,199,0.25324233093261717,True,REGULAR,USD
23,GOOGL260320P00195000,2025-04-07 14:11:09+00:00,195.0,49.85,51.55,54.1,0.79999924,1.6309873,15.0,175,0.2978585839843749,True,REGULAR,USD
24,GOOGL260320P00200000,2025-04-07 14:11:11+00:00,200.0,49.74,53.0,57.15,-3.459999,-6.5037575,1.0,869,0.25391371093750004,True,REGULAR,USD
25,GOOGL260320P00205000,2025-04-07 13:30:09+00:00,205.0,62.36,57.1,65.6,0.0,0.0,1.0,261,0.3668276208496094,True,REGULAR,USD
26,GOOGL260320P00210000,2025-04-04 14:56:25+00:00,210.0,62.78,61.85,70.15,0.0,0.0,5.0,288,0.3703981417846679,True,REGULAR,USD
27,GOOGL260320P00215000,2025-03-27 19:54:40+00:00,215.0,53.35,66.75,75.0,0.0,0.0,2.0,67,0.3806214282226562,True,REGULAR,USD
28,GOOGL260320P00220000,2025-03-25 19:26:20+00:00,220.0,50.9,71.5,80.0,0.0,0.0,63.0,67,0.39417109741210943,True,REGULAR,USD
29,GOOGL260320P00225000,2025-03-25 16:25:47+00:00,225.0,56.05,75.0,85.0,0.0,0.0,13.0,1,0.407232490234375,True,REGULAR,USD
30,GOOGL260320P00230000,2025-03-27 15:12:27+00:00,230.0,65.5,80.0,90.0,0.0,0.0,12.0,0,0.41986664123535156,True,REGULAR,USD
31,GOOGL260320P00235000,2025-03-25 13:38:48+00:00,235.0,66.5,86.5,95.0,0.0,0.0,1.0,0,0.4320430331420898,True,REGULAR,USD
32,GOOGL260320P00250000,2025-03-25 13:43:41+00:00,250.0,81.6,101.5,110.0,0.0,0.0,10.0,0,0.46640548248291025,True,REGULAR,USD
33,GOOGL260320P00255000,2025-01-27 16:47:41+00:00,255.0,62.83,82.0,87.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
34,GOOGL260320P00280000,2025-01-31 20:39:51+00:00,280.0,77.45,107.75,110.65,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
