,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC251121C00014000,2025-04-07 16:46:30+00:00,14.0,6.78,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,INTC251121C00015000,2025-04-07 15:43:46+00:00,15.0,6.38,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,INTC251121C00017000,2025-04-08 19:46:00+00:00,17.0,3.99,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,INTC251121C00018000,2025-04-08 19:58:13+00:00,18.0,3.7,0.0,0.0,0.0,0.0,26.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,INTC251121C00019000,2025-04-08 19:44:00+00:00,19.0,3.2,0.0,0.0,0.0,0.0,9.0,0,0.015634843750000002,False,REGULAR,USD
5,INTC251121C00020000,2025-04-08 19:59:11+00:00,20.0,3.35,0.0,0.0,0.0,0.0,73.0,0,0.0312596875,False,REGULAR,USD
6,INTC251121C00021000,2025-04-08 19:45:19+00:00,21.0,2.41,0.0,0.0,0.0,0.0,708.0,0,0.062509375,False,REGULAR,USD
7,INTC251121C00022000,2025-04-08 17:21:13+00:00,22.0,2.42,0.0,0.0,0.0,0.0,614.0,0,0.062509375,False,REGULAR,USD
8,INTC251121C00023000,2025-04-08 19:16:45+00:00,23.0,1.87,0.0,0.0,0.0,0.0,28.0,0,0.062509375,False,REGULAR,USD
9,INTC251121C00024000,2025-04-08 19:46:10+00:00,24.0,1.56,0.0,0.0,0.0,0.0,55.0,0,0.062509375,False,REGULAR,USD
10,INTC251121C00025000,2025-04-08 19:39:24+00:00,25.0,1.41,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
11,INTC251121C00026000,2025-04-08 16:53:55+00:00,26.0,1.49,0.0,0.0,0.0,0.0,40.0,0,0.12500875,False,REGULAR,USD
12,INTC251121C00028000,2025-04-08 19:24:44+00:00,28.0,0.96,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
13,INTC251121C00029000,2025-04-07 13:30:19+00:00,29.0,1.34,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD
14,INTC251121C00030000,2025-04-08 18:58:48+00:00,30.0,0.8,0.0,0.0,0.0,0.0,39.0,0,0.12500875,False,REGULAR,USD
15,INTC251121C00031000,2025-04-08 13:44:47+00:00,31.0,0.92,0.0,0.0,0.0,0.0,11.0,0,0.12500875,False,REGULAR,USD
16,INTC251121C00032000,2025-04-08 18:19:32+00:00,32.0,0.64,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
17,INTC251121C00034000,2025-04-03 17:11:59+00:00,34.0,0.9,0.0,0.0,0.0,0.0,,0,0.2500075,False,REGULAR,USD
18,INTC251121C00035000,2025-04-08 18:50:57+00:00,35.0,0.46,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
