,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,INTC250718P00010000,2025-04-08 19:46:12+00:00,10.0,0.26,0.0,0.0,0.0,0.0,200,0,0.2500075,False,REGULAR,USD
1,INTC250718P00011000,2025-04-08 19:20:54+00:00,11.0,0.33,0.0,0.0,0.0,0.0,8,0,0.2500075,False,REGULAR,USD
2,INTC250718P00012000,2025-04-07 18:20:02+00:00,12.0,0.3,0.0,0.0,0.0,0.0,3,0,0.2500075,False,REGULAR,USD
3,INTC250718P00013000,2025-04-08 19:49:19+00:00,13.0,0.76,0.0,0.0,0.0,0.0,10,0,0.12500875,False,REGULAR,USD
4,INTC250718P00014000,2025-04-08 19:50:00+00:00,14.0,1.0,0.0,0.0,0.0,0.0,117,0,0.12500875,False,REGULAR,USD
5,INTC250718P00015000,2025-04-08 19:41:57+00:00,15.0,1.25,0.0,0.0,0.0,0.0,518,0,0.12500875,False,REGULAR,USD
6,INTC250718P00016000,2025-04-08 19:32:13+00:00,16.0,1.55,0.0,0.0,0.0,0.0,239,0,0.062509375,False,REGULAR,USD
7,INTC250718P00017000,2025-04-08 19:51:29+00:00,17.0,2.07,0.0,0.0,0.0,0.0,248,0,0.0312596875,False,REGULAR,USD
8,INTC250718P00018000,2025-04-08 19:54:55+00:00,18.0,2.46,0.0,0.0,0.0,0.0,519,0,0.0039162109375,False,REGULAR,USD
9,INTC250718P00019000,2025-04-08 19:50:39+00:00,19.0,3.1,0.0,0.0,0.0,0.0,163,0,1.0000000000000003e-05,True,REGULAR,USD
10,INTC250718P00020000,2025-04-08 19:55:00+00:00,20.0,3.65,0.0,0.0,0.0,0.0,228,0,1.0000000000000003e-05,True,REGULAR,USD
11,INTC250718P00021000,2025-04-08 19:55:00+00:00,21.0,4.3,0.0,0.0,0.0,0.0,228,0,1.0000000000000003e-05,True,REGULAR,USD
12,INTC250718P00022000,2025-04-08 19:50:37+00:00,22.0,5.17,0.0,0.0,0.0,0.0,17,0,1.0000000000000003e-05,True,REGULAR,USD
13,INTC250718P00023000,2025-04-08 15:59:52+00:00,23.0,4.45,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
14,INTC250718P00024000,2025-04-08 17:18:04+00:00,24.0,5.8,0.0,0.0,0.0,0.0,17,0,1.0000000000000003e-05,True,REGULAR,USD
15,INTC250718P00025000,2025-04-08 18:50:31+00:00,25.0,6.84,0.0,0.0,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD
16,INTC250718P00026000,2025-04-08 18:30:11+00:00,26.0,7.5,0.0,0.0,0.0,0.0,61,0,1.0000000000000003e-05,True,REGULAR,USD
17,INTC250718P00027000,2025-04-08 19:46:01+00:00,27.0,9.48,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
18,INTC250718P00028000,2025-04-08 18:30:11+00:00,28.0,9.3,0.0,0.0,0.0,0.0,3,0,1.0000000000000003e-05,True,REGULAR,USD
19,INTC250718P00029000,2025-04-07 15:30:41+00:00,29.0,10.15,0.0,0.0,0.0,0.0,52,0,1.0000000000000003e-05,True,REGULAR,USD
20,INTC250718P00030000,2025-04-08 18:43:08+00:00,30.0,11.45,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
21,INTC250718P00031000,2025-04-07 14:33:50+00:00,31.0,11.7,0.0,0.0,0.0,0.0,18,0,1.0000000000000003e-05,True,REGULAR,USD
22,INTC250718P00032000,2025-04-08 18:57:48+00:00,32.0,13.5,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
23,INTC250718P00033000,2025-04-03 14:49:34+00:00,33.0,11.35,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD
24,INTC250718P00034000,2025-03-19 18:41:56+00:00,34.0,10.2,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
25,INTC250718P00035000,2025-03-24 14:12:54+00:00,35.0,10.55,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
26,INTC250718P00036000,2025-04-04 18:15:49+00:00,36.0,16.1,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
27,INTC250718P00037000,2025-03-03 14:59:07+00:00,37.0,13.1,0.0,0.0,0.0,0.0,3,42,1.0000000000000003e-05,True,REGULAR,USD
28,INTC250718P00038000,2025-02-24 18:57:41+00:00,38.0,13.55,14.95,15.1,0.0,0.0,1,19,1.0000000000000003e-05,True,REGULAR,USD
29,INTC250718P00039000,2025-02-20 18:39:06+00:00,39.0,14.35,13.75,14.95,0.0,0.0,1,10,1.0000000000000003e-05,True,REGULAR,USD
30,INTC250718P00040000,2025-03-27 19:47:18+00:00,40.0,16.3,0.0,0.0,0.0,0.0,45,0,1.0000000000000003e-05,True,REGULAR,USD
