,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META250425C00200000,2025-03-27 15:13:57+00:00,200.0,413.0,308.95,313.25,0.0,0.0,,1,1.9716798291015625,True,REGULAR,USD
1,META250425C00250000,2025-03-25 15:23:10+00:00,250.0,382.0,258.95,263.3,0.0,0.0,,1,1.54297103515625,True,REGULAR,USD
2,META250425C00260000,2025-04-07 14:38:29+00:00,260.0,243.88,249.05,253.4,0.0,0.0,5.0,4,1.495607990722656,True,REGULAR,USD
3,META250425C00270000,2025-04-07 15:31:25+00:00,270.0,236.87,239.5,243.55,0.0,0.0,9.0,8,1.4936548754882812,True,REGULAR,USD
4,META250425C00280000,2025-04-07 15:42:34+00:00,280.0,236.06,229.95,233.65,0.0,0.0,5.0,3,1.4721706079101562,True,REGULAR,USD
5,META250425C00290000,2025-04-07 15:08:18+00:00,290.0,225.55,220.15,223.75,0.0,0.0,27.0,25,1.421877890625,True,REGULAR,USD
6,META250425C00300000,2025-04-07 15:18:18+00:00,300.0,206.26,210.45,213.75,0.0,0.0,23.0,16,1.3701203369140624,True,REGULAR,USD
7,META250425C00310000,2025-04-07 16:15:02+00:00,310.0,200.01,200.25,204.4,0.0,0.0,43.0,13,1.327884219970703,True,REGULAR,USD
8,META250425C00320000,2025-04-04 15:49:53+00:00,320.0,194.35,190.45,194.4,0.0,0.0,9.0,10,1.2675817871093749,True,REGULAR,USD
9,META250425C00340000,2025-03-21 18:38:44+00:00,340.0,256.41,171.05,175.05,0.0,0.0,6.0,6,1.1921427111816407,True,REGULAR,USD
10,META250425C00360000,2025-03-28 19:32:58+00:00,360.0,218.05,152.2,155.9,0.0,0.0,1.0,1,1.1334271844482424,True,REGULAR,USD
11,META250425C00380000,2025-03-12 17:20:20+00:00,380.0,244.52,133.15,137.1,0.0,0.0,,1,1.0605515722656251,True,REGULAR,USD
12,META250425C00390000,2025-04-04 14:42:35+00:00,390.0,120.08,123.6,127.75,0.0,0.0,1.0,0,1.019230978088379,True,REGULAR,USD
13,META250425C00400000,2025-04-08 19:30:44+00:00,400.0,116.75,114.65,117.9,1.6500015,1.4335374,50.0,50,0.9771730798339844,True,REGULAR,USD
14,META250425C00410000,2025-04-08 19:30:01+00:00,410.0,107.9,105.3,109.25,-2.5999985,-2.3529398,2.0,40,0.9501958105468749,True,REGULAR,USD
15,META250425C00415000,2025-04-08 17:43:35+00:00,415.0,113.8,101.05,104.95,10.75,10.4318285,20.0,3,0.9439092523193358,True,REGULAR,USD
16,META250425C00420000,2025-04-08 19:23:40+00:00,420.0,97.95,96.6,99.8,-58.660004,-37.456104,14.0,1,0.9139412902832031,True,REGULAR,USD
17,META250425C00430000,2025-04-07 13:49:23+00:00,430.0,74.5,88.45,90.6,0.0,0.0,15.0,19,0.8879405737304686,True,REGULAR,USD
18,META250425C00440000,2025-04-08 19:23:44+00:00,440.0,80.8,80.0,83.05,-4.199997,-4.941173,10.0,33,0.8778698736572266,True,REGULAR,USD
19,META250425C00445000,2025-04-08 19:23:25+00:00,445.0,74.1,76.0,79.0,-1.9000015,-2.500002,22.0,36,0.8683484844970704,True,REGULAR,USD
20,META250425C00450000,2025-04-08 19:43:10+00:00,450.0,70.3,72.55,73.7,-5.0499954,-6.702051,30.0,74,0.8458267370605468,True,REGULAR,USD
21,META250425C00455000,2025-04-07 19:20:48+00:00,455.0,66.15,68.5,70.4,-7.9000015,-10.668468,4.0,180,0.8429581134033204,True,REGULAR,USD
22,META250425C00460000,2025-04-08 19:21:17+00:00,460.0,63.8,64.4,66.2,-6.8500023,-9.695686,15.0,42,0.8237932659912108,True,REGULAR,USD
23,META250425C00465000,2025-04-08 17:27:21+00:00,465.0,58.25,60.55,62.05,0.29999924,0.51768637,8.0,36,0.8071918695068359,True,REGULAR,USD
24,META250425C00470000,2025-04-08 18:42:37+00:00,470.0,55.55,56.8,58.7,-5.6500015,-9.232028,18.0,145,0.8007222076416016,True,REGULAR,USD
25,META250425C00475000,2025-04-08 18:36:02+00:00,475.0,52.45,53.1,55.0,-7.3999977,-12.364241,39.0,70,0.7879049530029296,True,REGULAR,USD
26,META250425C00480000,2025-04-08 19:24:40+00:00,480.0,48.9,49.65,50.7,-9.09,-15.675116,2.0,84,0.7684959674072267,True,REGULAR,USD
27,META250425C00485000,2025-04-08 19:09:07+00:00,485.0,46.45,46.15,46.8,-5.950001,-11.354962,5.0,29,0.7514673291015624,True,REGULAR,USD
