,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,META250919P00005000,2025-04-07 13:30:11+00:00,5.0,0.01,0.0,0.01,0.0,0.0,2.0,183,2.031254921875,False,REGULAR,USD
1,META250919P00010000,2025-04-07 13:30:08+00:00,10.0,0.02,0.0,0.02,0.0,0.0,1.0,80,1.78125109375,False,REGULAR,USD
2,META250919P00015000,2025-04-07 15:25:57+00:00,15.0,0.03,0.0,0.03,0.0,0.0,1.0,2200,1.640626796875,False,REGULAR,USD
3,META250919P00020000,2024-12-16 05:14:43+00:00,20.0,0.02,0.0,0.42,0.0,0.0,1.0,23,1.9218753906250001,False,REGULAR,USD
4,META250919P00045000,2024-12-16 05:00:14+00:00,45.0,0.1,0.02,0.19,0.0,0.0,1.0,3,1.3105503222656247,False,REGULAR,USD
5,META250919P00050000,2024-12-16 05:00:21+00:00,50.0,0.25,0.05,0.23,0.0,0.0,1.0,1,1.2890660546875,False,REGULAR,USD
6,META250919P00055000,2024-11-26 16:14:27+00:00,55.0,0.05,0.0,0.09,0.0,0.0,5.0,26,1.109379453125,False,REGULAR,USD
7,META250919P00065000,2025-04-04 18:33:44+00:00,65.0,0.01,0.0,0.23,0.0,0.0,5.0,250,1.1171919140625,False,REGULAR,USD
8,META250919P00070000,2025-02-18 20:29:20+00:00,70.0,0.08,0.0,0.08,0.0,0.0,1.0,485,0.9765627343750001,False,REGULAR,USD
9,META250919P00075000,2025-03-24 15:44:54+00:00,75.0,0.05,0.03,0.27,0.0,0.0,5.0,1216,1.0673874755859378,False,REGULAR,USD
10,META250919P00080000,2025-04-07 15:34:24+00:00,80.0,0.17,0.0,0.35,0.0,0.0,10.0,12,1.0488328808593752,False,REGULAR,USD
11,META250919P00085000,2025-04-07 13:44:11+00:00,85.0,0.15,0.0,0.31,0.0,0.0,1.0,13,1.0009815576171874,False,REGULAR,USD
12,META250919P00090000,2025-03-21 19:41:01+00:00,90.0,0.05,0.02,0.32,0.0,0.0,4.0,12,0.9785158398437501,False,REGULAR,USD
13,META250919P00095000,2025-04-07 16:49:32+00:00,95.0,0.26,0.12,0.28,0.0,0.0,2.0,191,0.9648441015625,False,REGULAR,USD
14,META250919P00100000,2025-04-01 19:52:06+00:00,100.0,0.04,0.08,0.36,0.0,0.0,2.0,62,0.945313046875,False,REGULAR,USD
15,META250919P00105000,2025-03-31 13:45:40+00:00,105.0,0.06,0.11,0.38,0.0,0.0,1.0,12,0.928711650390625,False,REGULAR,USD
16,META250919P00110000,2025-03-24 13:30:02+00:00,110.0,0.06,0.14,0.43,0.0,0.0,1.0,25,0.9179695703125,False,REGULAR,USD
17,META250919P00115000,2025-03-19 16:10:57+00:00,115.0,0.08,0.18,0.45,0.0,0.0,6.0,22,0.9023447265625,False,REGULAR,USD
