,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT251219C00125000,2025-04-08 19:33:45+00:00,125.0,231.7,230.5,234.9,-29.800003,-11.395795,2,116,0.7830832238769532,True,REGULAR,USD
1,MSFT251219C00130000,2025-01-08 17:43:07+00:00,130.0,297.01,281.05,284.7,0.0,0.0,50,296,2.1926314715576165,True,REGULAR,USD
2,MSFT251219C00135000,2024-12-16 05:13:34+00:00,135.0,310.57,322.5,326.5,0.0,0.0,1,63,3.5107434106445314,True,REGULAR,USD
3,MSFT251219C00140000,2025-02-12 18:35:15+00:00,140.0,274.48,249.9,253.9,0.0,0.0,1,54,1.5874959590148925,True,REGULAR,USD
4,MSFT251219C00145000,2025-02-19 14:50:02+00:00,145.0,267.81,248.05,250.9,0.0,0.0,7,20,1.5900289053344725,True,REGULAR,USD
5,MSFT251219C00150000,2025-03-07 17:22:17+00:00,150.0,240.3,0.0,0.0,0.0,0.0,1,101,1.0000000000000003e-05,True,REGULAR,USD
6,MSFT251219C00155000,2024-11-14 20:33:31+00:00,155.0,277.78,282.7,286.0,0.0,0.0,1,2,2.4140054298400875,True,REGULAR,USD
7,MSFT251219C00160000,2025-01-06 16:32:58+00:00,160.0,277.69,0.0,0.0,0.0,0.0,20,68,1.0000000000000003e-05,True,REGULAR,USD
8,MSFT251219C00165000,2025-04-07 15:14:34+00:00,165.0,195.6,192.0,196.7,0.0,0.0,1,4,0.6557651611328126,True,REGULAR,USD
9,MSFT251219C00170000,2025-03-04 17:57:21+00:00,170.0,219.74,0.0,0.0,0.0,0.0,1,35,1.0000000000000003e-05,True,REGULAR,USD
10,MSFT251219C00175000,2025-04-07 13:50:33+00:00,175.0,178.8,183.0,187.3,0.0,0.0,1,21,0.637271693725586,True,REGULAR,USD
11,MSFT251219C00180000,2024-12-16 05:13:35+00:00,180.0,284.12,233.0,238.0,0.0,0.0,1,19,1.6316851911926267,True,REGULAR,USD
12,MSFT251219C00185000,2025-03-28 13:51:56+00:00,185.0,207.99,173.5,177.95,0.0,0.0,3,99,0.6109658044433595,True,REGULAR,USD
13,MSFT251219C00190000,2025-02-21 20:41:03+00:00,190.0,225.0,0.0,0.0,0.0,0.0,8,24,1.0000000000000003e-05,True,REGULAR,USD
14,MSFT251219C00195000,2025-01-07 20:44:51+00:00,195.0,234.05,0.0,0.0,0.0,0.0,13,27,1.0000000000000003e-05,True,REGULAR,USD
15,MSFT251219C00200000,2025-03-25 15:04:39+00:00,200.0,175.89,159.5,164.0,-25.11,-12.4925375,2,154,0.5752300778198242,True,REGULAR,USD
16,MSFT251219C00205000,2025-02-25 15:45:07+00:00,205.0,201.53,177.3,181.7,0.0,0.0,1,29,0.9525151232910156,True,REGULAR,USD
17,MSFT251219C00210000,2025-03-10 17:14:02+00:00,210.0,177.65,150.5,154.95,0.0,0.0,1,54,0.5571333349609376,True,REGULAR,USD
18,MSFT251219C00215000,2025-03-31 17:46:59+00:00,215.0,154.0,145.9,150.4,-8.350006,-5.143213,1,81,0.5462691857910158,True,REGULAR,USD
19,MSFT251219C00220000,2025-04-04 13:46:06+00:00,220.0,153.73,141.15,145.7,0.0,0.0,1,116,0.5322617575073242,True,REGULAR,USD
20,MSFT251219C00225000,2025-04-07 13:51:11+00:00,225.0,134.3,137.0,141.5,0.0,0.0,10,92,0.5285996847534181,True,REGULAR,USD
21,MSFT251219C00230000,2025-04-03 15:14:38+00:00,230.0,150.55,132.5,137.0,0.0,0.0,2,173,0.5183763983154297,True,REGULAR,USD
22,MSFT251219C00235000,2025-04-07 17:29:20+00:00,235.0,129.53,128.5,132.4,-3.3200073,-2.4990644,1,20,0.5112658737182617,True,REGULAR,USD
23,MSFT251219C00240000,2025-04-07 17:29:20+00:00,240.0,125.13,124.35,127.9,-3.2999954,-2.5694897,1,174,0.5032703482055664,True,REGULAR,USD
24,MSFT251219C00245000,2025-04-07 19:55:38+00:00,245.0,123.1,120.0,123.95,0.0,0.0,6,21,0.5274095111083985,True,REGULAR,USD
25,MSFT251219C00250000,2025-04-07 19:55:38+00:00,250.0,122.56,115.55,119.2,3.459999,2.905121,1,244,0.5113269082641602,True,REGULAR,USD
26,MSFT251219C00255000,2025-03-31 14:37:30+00:00,255.0,123.4,111.55,114.75,0.0,0.0,1,197,0.4995167236328125,True,REGULAR,USD
27,MSFT251219C00260000,2025-04-07 13:42:47+00:00,260.0,100.5,107.5,111.35,0.0,0.0,1,135,0.5015918981933594,True,REGULAR,USD
28,MSFT251219C00265000,2025-04-04 19:34:56+00:00,265.0,113.05,103.2,106.6,0.0,0.0,1,136,0.48517360534667964,True,REGULAR,USD
29,MSFT251219C00270000,2025-04-03 13:41:09+00:00,270.0,107.85,99.15,102.75,-4.550003,-4.048045,7,246,0.480122996673584,True,REGULAR,USD
30,MSFT251219C00275000,2025-04-08 16:37:43+00:00,275.0,101.6,95.25,98.0,-1.6500015,-1.5980644,92,427,0.46358263473510747,True,REGULAR,USD
31,MSFT251219C00280000,2025-04-08 19:55:39+00:00,280.0,91.7,91.2,94.1,-5.0,-5.170631,6,914,0.45712823150634774,True,REGULAR,USD
32,MSFT251219C00285000,2025-04-07 13:53:22+00:00,285.0,84.8,87.2,90.8,0.0,0.0,3,290,0.4569451278686524,True,REGULAR,USD
33,MSFT251219C00290000,2025-04-08 16:14:16+00:00,290.0,92.8,83.15,86.05,-6.649994,-6.6867714,48,252,0.439885972290039,True,REGULAR,USD
34,MSFT251219C00295000,2025-04-08 14:02:06+00:00,295.0,91.58,79.45,83.4,9.480003,11.546899,3,214,0.44537908142089844,True,REGULAR,USD
35,MSFT251219C00300000,2025-04-08 18:13:26+00:00,300.0,79.57,75.85,78.55,0.23000336,0.28989586,39,1284,0.4268093208312989,True,REGULAR,USD
36,MSFT251219C00305000,2025-04-08 16:17:14+00:00,305.0,78.9,72.25,75.25,-0.34999847,-0.44163844,62,762,0.42403224899291997,True,REGULAR,USD
37,MSFT251219C00310000,2025-04-08 16:17:05+00:00,310.0,74.9,68.85,71.9,4.2700043,6.045596,5,298,0.4200192276000977,True,REGULAR,USD
38,MSFT251219C00315000,2025-04-08 14:10:01+00:00,315.0,77.35,65.1,67.8,12.339996,18.98169,6,947,0.40810223251342775,True,REGULAR,USD
39,MSFT251219C00320000,2025-04-07 19:55:14+00:00,320.0,63.53,61.1,63.95,0.0,0.0,13,302,0.3982146360778809,True,REGULAR,USD
40,MSFT251219C00325000,2025-04-07 13:32:50+00:00,325.0,56.0,57.75,60.65,0.0,0.0,1,384,0.3929809237670898,True,REGULAR,USD
41,MSFT251219C00330000,2025-04-08 19:53:12+00:00,330.0,55.12,55.25,57.4,0.2199974,0.40072387,1,446,0.38756410781860345,True,REGULAR,USD
42,MSFT251219C00335000,2025-04-07 19:16:13+00:00,335.0,52.65,51.45,54.3,0.0,0.0,1,474,0.3828339305114746,True,REGULAR,USD
43,MSFT251219C00340000,2025-04-08 19:06:08+00:00,340.0,51.05,48.4,51.45,-0.8500023,-1.6377693,4,309,0.37964487548828124,True,REGULAR,USD
44,MSFT251219C00345000,2025-04-08 18:30:01+00:00,345.0,49.0,45.45,49.35,3.2400017,7.080424,23,811,0.382269360961914,True,REGULAR,USD
45,MSFT251219C00350000,2025-04-08 16:42:54+00:00,350.0,42.8,43.35,45.55,-0.95000076,-2.1714303,12,2139,0.3694063304138184,True,REGULAR,USD
46,MSFT251219C00355000,2025-04-07 17:39:00+00:00,355.0,40.6,41.4,42.2,-1.8900032,-4.448113,5,321,0.3598239067077636,False,REGULAR,USD
47,MSFT251219C00360000,2025-04-08 17:37:01+00:00,360.0,40.7,38.7,39.5,2.2400017,5.8242373,20,2512,0.35513950531005856,False,REGULAR,USD
48,MSFT251219C00365000,2025-04-08 14:33:49+00:00,365.0,34.9,36.0,36.9,-1.3999977,-3.856743,3,449,0.3505619143676757,False,REGULAR,USD
49,MSFT251219C00370000,2025-04-08 18:44:06+00:00,370.0,33.77,33.5,34.4,0.52000046,1.5639112,118,756,0.3460758752441406,False,REGULAR,USD
50,MSFT251219C00375000,2025-04-08 14:52:10+00:00,375.0,30.45,31.15,32.0,-1.5999985,-4.992195,27,847,0.34168138793945313,False,REGULAR,USD
51,MSFT251219C00380000,2025-04-08 17:13:20+00:00,380.0,31.12,28.85,29.7,1.1200008,3.7333362,64,3138,0.3373784524536133,False,REGULAR,USD
52,MSFT251219C00385000,2025-04-08 17:22:15+00:00,385.0,25.9,26.75,27.5,-0.5,-1.8939394,88,618,0.33313655151367194,False,REGULAR,USD
53,MSFT251219C00390000,2025-04-08 16:09:55+00:00,390.0,26.48,24.7,25.45,2.5,10.425355,43,932,0.3294134442138671,False,REGULAR,USD
54,MSFT251219C00395000,2025-04-08 18:31:16+00:00,395.0,22.2,22.7,23.45,-0.79999924,-3.4782577,31,730,0.32530887100219724,False,REGULAR,USD
55,MSFT251219C00400000,2025-04-08 19:57:53+00:00,400.0,20.58,20.85,21.6,-0.17000008,-0.81927747,211,1814,0.3217078327941894,False,REGULAR,USD
56,MSFT251219C00405000,2025-04-08 16:09:16+00:00,405.0,19.9,19.1,19.85,0.8299999,4.3523855,297,638,0.31819834640502925,False,REGULAR,USD
57,MSFT251219C00410000,2025-04-08 17:45:59+00:00,410.0,19.09,17.45,18.2,0.94000053,5.179066,59,1606,0.3147956704711914,False,REGULAR,USD
58,MSFT251219C00415000,2025-04-08 14:28:20+00:00,415.0,19.6,16.05,16.65,3.79,23.972168,12,985,0.3114692877197265,False,REGULAR,USD
59,MSFT251219C00420000,2025-04-08 19:42:54+00:00,420.0,14.8,14.4,15.2,0.19999981,1.3698617,42,1138,0.3082954913330078,False,REGULAR,USD
60,MSFT251219C00425000,2025-04-08 18:58:34+00:00,425.0,13.26,13.1,13.85,0.0,0.0,45,2370,0.30525902267456057,False,REGULAR,USD
61,MSFT251219C00430000,2025-04-08 19:35:05+00:00,430.0,12.0,12.1,12.6,-0.28999996,-2.3596418,49,1017,0.30240565765380856,False,REGULAR,USD
62,MSFT251219C00435000,2025-04-08 17:46:26+00:00,435.0,11.7,10.75,11.45,0.8999996,8.333329,21,421,0.29978117218017575,False,REGULAR,USD
