,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT260320P00190000,2025-04-08 15:53:31+00:00,190.0,1.51,2.08,2.48,0.51,51.0,2.0,1,0.4062559375,False,REGULAR,USD
1,MSFT260320P00195000,2025-04-08 18:56:54+00:00,195.0,2.16,2.29,2.74,0.17000008,8.542717,8.0,63,0.4003355865478516,False,REGULAR,USD
2,MSFT260320P00200000,2025-04-08 16:17:17+00:00,200.0,3.02,2.77,3.05,0.30999994,11.439112,2.0,15,0.39539178833007815,False,REGULAR,USD
3,MSFT260320P00210000,2025-04-08 19:53:54+00:00,210.0,3.81,3.35,3.8,1.0,35.58719,11.0,30,0.3869079864501953,False,REGULAR,USD
4,MSFT260320P00220000,2025-04-04 17:03:07+00:00,220.0,3.0,4.05,4.65,0.0,0.0,3.0,24,0.3779053909301757,False,REGULAR,USD
5,MSFT260320P00230000,2025-04-08 19:28:42+00:00,230.0,5.2,5.05,5.6,1.0999999,26.829268,43.0,52,0.36832296722412117,False,REGULAR,USD
6,MSFT260320P00240000,2025-04-07 18:22:47+00:00,240.0,3.7,6.1,6.7,-1.3,-26.0,1.0,49,0.3589846817016602,False,REGULAR,USD
7,MSFT260320P00250000,2025-04-07 18:10:44+00:00,250.0,7.45,7.4,8.05,1.54,26.05753,7.0,193,0.3511417425537109,False,REGULAR,USD
8,MSFT260320P00260000,2025-04-07 19:05:20+00:00,260.0,8.1,8.9,9.55,0.0,0.0,37.0,156,0.34278000976562495,False,REGULAR,USD
9,MSFT260320P00270000,2025-04-08 16:28:20+00:00,270.0,9.7,10.6,11.3,-0.8500004,-8.056875,58.0,226,0.3350286224365234,False,REGULAR,USD
10,MSFT260320P00280000,2025-04-08 18:30:03+00:00,280.0,11.5,12.5,15.5,-0.09000015,-0.77653277,12.0,276,0.35111122528076166,False,REGULAR,USD
11,MSFT260320P00290000,2025-04-08 18:30:03+00:00,290.0,15.15,14.7,15.5,2.2599993,17.532965,31.0,542,0.31964791687011707,False,REGULAR,USD
12,MSFT260320P00300000,2025-04-08 19:09:36+00:00,300.0,18.02,17.2,18.0,1.7200012,10.5521555,132.0,1059,0.3120948918151855,False,REGULAR,USD
13,MSFT260320P00310000,2025-04-08 17:12:20+00:00,310.0,18.05,19.95,20.8,-0.95000076,-5.000004,24.0,626,0.3046791944885254,False,REGULAR,USD
14,MSFT260320P00320000,2025-04-08 15:49:18+00:00,320.0,18.45,23.05,23.9,-2.539999,-12.100996,10.0,946,0.2972024626159668,False,REGULAR,USD
15,MSFT260320P00330000,2025-04-08 19:04:05+00:00,330.0,25.65,26.45,27.55,3.0499992,13.495572,313.0,1073,0.29149573257446276,False,REGULAR,USD
