,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA251121C00050000,2025-04-08 14:36:32+00:00,50.0,57.68,0.0,0.0,6.7299995,13.209027,1,0,1.0000000000000003e-05,True,REGULAR,USD
1,NVDA251121C00055000,2025-04-08 19:48:59+00:00,55.0,44.47,0.0,0.0,6.1200027,15.958286,2,0,1.0000000000000003e-05,True,REGULAR,USD
2,NVDA251121C00060000,2025-04-08 19:51:57+00:00,60.0,41.3,0.0,0.0,-0.6500015,-1.5494672,2,0,1.0000000000000003e-05,True,REGULAR,USD
3,NVDA251121C00065000,2025-04-08 19:54:41+00:00,65.0,38.1,0.0,0.0,-0.6000023,-1.5503935,113,0,1.0000000000000003e-05,True,REGULAR,USD
4,NVDA251121C00070000,2025-04-08 19:15:52+00:00,70.0,33.84,0.0,0.0,-2.459999,-6.776857,1,0,1.0000000000000003e-05,True,REGULAR,USD
5,NVDA251121C00075000,2025-04-08 16:42:01+00:00,75.0,33.05,0.0,0.0,2.1499996,6.9579277,8,0,1.0000000000000003e-05,True,REGULAR,USD
6,NVDA251121C00080000,2025-04-08 19:58:15+00:00,80.0,27.25,0.0,0.0,-1.3999996,-4.886561,53,0,1.0000000000000003e-05,True,REGULAR,USD
7,NVDA251121C00085000,2025-04-08 19:30:00+00:00,85.0,24.25,0.0,0.0,-0.75,-3.0,68,0,1.0000000000000003e-05,True,REGULAR,USD
8,NVDA251121C00090000,2025-04-08 19:59:50+00:00,90.0,21.6,0.0,0.0,-0.79999924,-3.5714252,46,0,1.0000000000000003e-05,True,REGULAR,USD
9,NVDA251121C00095000,2025-04-08 19:51:00+00:00,95.0,18.5,0.0,0.0,-0.6000004,-3.1413631,128,0,1.0000000000000003e-05,True,REGULAR,USD
10,NVDA251121C00100000,2025-04-08 19:58:13+00:00,100.0,16.44,0.0,0.0,-0.55999947,-3.2941146,387,0,0.015634843750000002,False,REGULAR,USD
11,NVDA251121C00105000,2025-04-08 19:41:36+00:00,105.0,14.0,0.0,0.0,-0.5500002,-3.78007,280,0,0.0312596875,False,REGULAR,USD
12,NVDA251121C00110000,2025-04-08 19:54:48+00:00,110.0,12.55,0.0,0.0,-0.4499998,-3.461537,612,0,0.0312596875,False,REGULAR,USD
13,NVDA251121C00115000,2025-04-08 19:56:03+00:00,115.0,10.55,0.0,0.0,-0.75,-6.637168,6975,0,0.062509375,False,REGULAR,USD
14,NVDA251121C00120000,2025-04-08 19:44:30+00:00,120.0,8.82,0.0,0.0,-0.8800001,-9.072166,333,0,0.062509375,False,REGULAR,USD
15,NVDA251121C00125000,2025-04-08 19:39:36+00:00,125.0,7.43,0.0,0.0,-0.69000006,-8.497538,224,0,0.062509375,False,REGULAR,USD
16,NVDA251121C00130000,2025-04-08 19:58:29+00:00,130.0,6.6,0.0,0.0,-0.4000001,-5.714287,398,0,0.062509375,False,REGULAR,USD
17,NVDA251121C00135000,2025-04-08 19:52:01+00:00,135.0,5.6,0.0,0.0,-0.25,-4.2735043,265,0,0.12500875,False,REGULAR,USD
18,NVDA251121C00140000,2025-04-08 19:51:35+00:00,140.0,4.76,0.0,0.0,-0.18999958,-3.8383756,1438,0,0.12500875,False,REGULAR,USD
19,NVDA251121C00145000,2025-04-08 19:52:57+00:00,145.0,4.01,0.0,0.0,-0.48999977,-10.888884,368,0,0.12500875,False,REGULAR,USD
20,NVDA251121C00150000,2025-04-08 19:59:36+00:00,150.0,3.5,0.0,0.0,-0.29999995,-7.894736,475,0,0.12500875,False,REGULAR,USD
21,NVDA251121C00155000,2025-04-08 19:49:38+00:00,155.0,2.8,0.0,0.0,-0.42000008,-13.043481,107,0,0.12500875,False,REGULAR,USD
22,NVDA251121C00160000,2025-04-08 19:24:50+00:00,160.0,2.51,0.0,0.0,-0.23000002,-8.394161,100,0,0.12500875,False,REGULAR,USD
23,NVDA251121C00165000,2025-04-08 19:49:01+00:00,165.0,2.1,0.0,0.0,-0.2800002,-11.764714,82,0,0.12500875,False,REGULAR,USD
24,NVDA251121C00170000,2025-04-08 19:53:47+00:00,170.0,1.85,0.0,0.0,-0.17999995,-8.866992,67,0,0.12500875,False,REGULAR,USD
25,NVDA251121C00175000,2025-04-08 17:01:44+00:00,175.0,1.86,0.0,0.0,0.05000007,2.762435,27,0,0.12500875,False,REGULAR,USD
26,NVDA251121C00180000,2025-04-08 16:28:49+00:00,180.0,1.76,0.0,0.0,0.31999993,22.222216,8,0,0.12500875,False,REGULAR,USD
27,NVDA251121C00185000,2025-04-08 14:03:15+00:00,185.0,1.7,0.0,0.0,0.31000006,22.302162,2,0,0.12500875,False,REGULAR,USD
28,NVDA251121C00190000,2025-04-08 15:01:15+00:00,190.0,1.45,0.0,0.0,0.24000001,19.83471,976,0,0.12500875,False,REGULAR,USD
29,NVDA251121C00195000,2025-04-08 19:22:28+00:00,195.0,1.0,0.0,0.0,-0.07000005,-6.542061,14,0,0.12500875,False,REGULAR,USD
30,NVDA251121C00200000,2025-04-08 19:54:41+00:00,200.0,0.88,0.0,0.0,-0.060000002,-6.382979,53,0,0.2500075,False,REGULAR,USD
31,NVDA251121C00210000,2025-04-08 19:54:44+00:00,210.0,0.72,0.0,0.0,-0.07999998,-9.999997,4,0,0.2500075,False,REGULAR,USD
32,NVDA251121C00220000,2025-04-08 16:47:24+00:00,220.0,0.67,0.0,0.0,0.00999999,1.51515,1,0,0.2500075,False,REGULAR,USD
33,NVDA251121C00230000,2025-04-08 18:28:29+00:00,230.0,0.53,0.0,0.0,-0.02000004,-3.636371,2,0,0.2500075,False,REGULAR,USD
34,NVDA251121C00240000,2025-04-08 17:51:19+00:00,240.0,0.49,0.0,0.0,0.0,0.0,12,0,0.2500075,False,REGULAR,USD
35,NVDA251121C00250000,2025-04-08 18:07:18+00:00,250.0,0.4,0.0,0.0,-0.00999999,-2.439022,3,0,0.2500075,False,REGULAR,USD
36,NVDA251121C00260000,2025-04-08 19:57:21+00:00,260.0,0.33,0.0,0.0,-0.01999998,-5.71428,11,0,0.2500075,False,REGULAR,USD
