,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA260116P00000500,2025-03-24 17:53:52+00:00,0.5,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
1,NVDA260116P00001000,2025-04-08 13:45:04+00:00,1.0,0.01,0.0,0.0,0.0,0.0,100.0,0,0.500005,False,REGULAR,USD
2,NVDA260116P00001500,2025-02-05 15:36:08+00:00,1.5,0.01,0.0,0.02,0.0,0.0,500.0,1744,1.6875015625,False,REGULAR,USD
3,NVDA260116P00002000,2025-03-04 15:43:47+00:00,2.0,0.01,0.0,0.0,0.0,0.0,51.0,1274,0.500005,False,REGULAR,USD
4,NVDA260116P00002500,2025-04-07 18:06:08+00:00,2.5,0.01,0.0,0.0,0.0,0.0,228.0,0,0.500005,False,REGULAR,USD
5,NVDA260116P00003000,2025-04-07 16:16:36+00:00,3.0,0.02,0.0,0.0,0.0,0.0,11.0,0,0.500005,False,REGULAR,USD
6,NVDA260116P00003500,2025-03-10 15:03:31+00:00,3.5,0.02,0.0,0.0,0.0,0.0,59.0,0,0.500005,False,REGULAR,USD
7,NVDA260116P00004000,2025-03-31 17:10:30+00:00,4.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
8,NVDA260116P00004500,2025-04-08 19:56:59+00:00,4.5,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
9,NVDA260116P00005000,2025-04-04 15:50:02+00:00,5.0,0.01,0.0,0.0,0.0,0.0,1200.0,0,0.500005,False,REGULAR,USD
10,NVDA260116P00005500,2025-03-31 17:10:00+00:00,5.5,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
11,NVDA260116P00006000,2025-04-08 14:59:58+00:00,6.0,0.01,0.0,0.0,-0.02,-66.66667,10.0,0,0.500005,False,REGULAR,USD
12,NVDA260116P00007000,2025-03-07 20:21:50+00:00,7.0,0.02,0.0,0.0,0.0,0.0,10.0,2711,0.500005,False,REGULAR,USD
13,NVDA260116P00008000,2025-04-03 19:58:19+00:00,8.0,0.03,0.0,0.0,0.0,0.0,12.0,0,0.500005,False,REGULAR,USD
14,NVDA260116P00009000,2025-04-04 14:24:59+00:00,9.0,0.07,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
15,NVDA260116P00010000,2025-04-08 17:39:52+00:00,10.0,0.05,0.0,0.0,-0.009999998,-16.666662,1433.0,0,0.500005,False,REGULAR,USD
16,NVDA260116P00011000,2025-03-21 18:07:01+00:00,11.0,0.04,0.0,0.0,0.0,0.0,16.0,0,0.500005,False,REGULAR,USD
17,NVDA260116P00012000,2025-04-08 19:11:13+00:00,12.0,0.1,0.0,0.0,-0.009999998,-9.090907,478.0,0,0.500005,False,REGULAR,USD
18,NVDA260116P00013000,2025-04-07 13:49:09+00:00,13.0,0.1,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
19,NVDA260116P00014000,2025-04-08 19:51:53+00:00,14.0,0.13,0.0,0.0,0.029999994,29.999992,2.0,0,0.500005,False,REGULAR,USD
20,NVDA260116P00015000,2025-04-08 19:55:00+00:00,15.0,0.17,0.0,0.0,0.040000007,30.769236,21.0,0,0.500005,False,REGULAR,USD
21,NVDA260116P00016000,2025-04-07 14:15:42+00:00,16.0,0.12,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
22,NVDA260116P00017000,2025-04-08 19:43:43+00:00,17.0,0.21,0.0,0.0,0.099999994,90.90908,10.0,0,0.500005,False,REGULAR,USD
23,NVDA260116P00018000,2025-04-07 13:53:03+00:00,18.0,0.21,0.0,0.0,0.0,0.0,54.0,0,0.500005,False,REGULAR,USD
24,NVDA260116P00019000,2025-04-07 13:42:04+00:00,19.0,0.23,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
25,NVDA260116P00020000,2025-04-08 19:43:25+00:00,20.0,0.28,0.0,0.0,0.0,0.0,89.0,0,0.500005,False,REGULAR,USD
26,NVDA260116P00021000,2025-04-03 19:34:16+00:00,21.0,0.12,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
