,Price,Close,High,Low,Open,Volume,factor_PTFSBD,factor_PTFSFX,factor_PTFSCOM,factor_PTFSIR,factor_PTFSSTK,factor_Unnamed: 6,factor_Unnamed: 7,factor_mkt_rf,factor_smb,factor_hml,factor_rmw,factor_cma,factor_rf,option_dte,option_underlying_price,option_put_call_volume_ratio,option_put_call_oi_ratio,option_call_iv,option_put_iv,option_iv_skew
1970-01-01 00:00:00.000000000,Ticker,AMD,AMD,AMD,AMD,AMD,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000001,Date,,,,,,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000002,2018-01-02,10.979999542236328,11.020000457763672,10.34000015258789,10.420000076293945,44146300,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000003,2018-01-03,11.550000190734863,12.140000343322754,11.359999656677246,11.609999656677246,154066700,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000004,2018-01-04,12.119999885559082,12.430000305175781,11.970000267028809,12.100000381469727,109503000,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000005,2018-01-05,11.880000114440918,12.220000267028809,11.65999984741211,12.1899995803833,63808900,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000006,2018-01-08,12.279999732971191,12.300000190734863,11.850000381469727,12.010000228881836,63346000,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000007,2018-01-09,11.819999694824219,12.020000457763672,11.710000038146973,12.0,62560900,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000008,2018-01-10,11.960000038146973,12.149999618530273,11.5600004196167,11.630000114440918,52561200,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000009,2018-01-11,12.140000343322754,12.1899995803833,11.899999618530273,12.069999694824219,38354900,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000010,2018-01-12,12.020000457763672,12.069999694824219,11.800000190734863,11.819999694824219,47149300,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000011,2018-01-16,11.90999984741211,12.199999809265137,11.800000190734863,12.050000190734863,42686600,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000012,2018-01-17,12.180000305175781,12.1899995803833,11.819999694824219,11.899999618530273,39020800,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000013,2018-01-18,12.470000267028809,12.680000305175781,12.149999618530273,12.180000305175781,62086200,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000014,2018-01-19,12.59000015258789,12.880000114440918,12.539999961853027,12.5600004196167,46800700,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000015,2018-01-22,12.649999618530273,12.739999771118164,12.369999885559082,12.609999656677246,34758600,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000016,2018-01-23,12.9399995803833,13.0,12.760000228881836,12.819999694824219,46417200,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000017,2018-01-24,12.710000038146973,13.050000190734863,12.600000381469727,13.020000457763672,41956400,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000018,2018-01-25,12.40999984741211,12.9399995803833,12.319999694824219,12.779999732971191,42966600,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000019,2018-01-26,12.949999809265137,12.949999809265137,12.619999885559082,12.699999809265137,44239000,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000020,2018-01-29,13.319999694824219,13.470000267028809,13.050000190734863,13.130000114440918,66645400,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000021,2018-01-30,12.869999885559082,13.270000457763672,12.6899995803833,13.119999885559082,91236400,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000022,2018-01-31,13.739999771118164,13.850000381469727,13.149999618530273,13.239999771118164,140977800,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000023,2018-02-01,13.25,13.84000015258789,13.210000038146973,13.619999885559082,67543300,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000024,2018-02-02,12.449999809265137,13.0600004196167,12.430000305175781,13.050000190734863,79432600,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000025,2018-02-05,11.569999694824219,12.180000305175781,10.930000305175781,12.050000190734863,116568900,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000026,2018-02-06,11.649999618530273,11.739999771118164,11.0,11.039999961853027,87123200,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000027,2018-02-07,11.600000381469727,11.899999618530273,11.529999732971191,11.699999809265137,55758400,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000028,2018-02-08,11.220000267028809,11.850000381469727,11.210000038146973,11.720000267028809,56471800,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000029,2018-02-09,11.3100004196167,11.569999694824219,10.630000114440918,11.539999961853027,85458200,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000030,2018-02-12,11.680000305175781,11.800000190734863,11.430000305175781,11.470000267028809,63160900,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
1970-01-01 00:00:00.000000031,2018-02-13,11.779999732971191,11.819999694824219,11.529999732971191,11.600000381469727,33661400,,,,,,,,,,,,,,1.0,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.0312496875
